Season,OfficialID,JerseyNum,FirstName,LastName,LastNameSuffix,Position,PositionLongName,NAbbrev,Height,DOB,POB,Hometown,Country,CountryCode,Nickname,InjuryStatus,InjuryDesc,Headshot,Initials,TeamId,Affiliate,CloudHeadshotURL,SquadId,College,LeagueStatus
2023,21707,11,Lujuan,Winningham,,WR,,L. Winningham,6030,,,,,,,,,,,1,,,,Central Arkansas,Active
2023,21798,21,Cre'Von,LeBlanc,,DB,,C. LeBlanc,5097,1994-07-25,,,,,,,,,,1,,,,Florida Atlantic,Active
2023,21845,73,Willie,Beavers,,OL,,W. Beavers,6045,1993-10-02,,,,,,,,,,1,,,,Western Michigan,Active
2023,21861,,T.J.,Green,,DB,,T. Green,6024,1995-03-15,,,,,,,,,,1,,,,Clemson,Reserve List
2023,21876,18,Isaac,Nauta,,TE,,I. Nauta,6032,1997-05-21,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Isaac_Nauta_21876.png,,Georgia,Reserve List
2023,21884,10,Kyle,Sloter,,QB,,K. Sloter,6046,1994-02-07,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kyle_Sloter_21884.png,,Northern Colorado,Active
2023,21902,,Chad,Williams,,WR,,C. Williams,6005,1994-10-19,,,,,,,,,,1,,,,Grambling,Reserve List
2023,21903,,Dexter,Williams,,RB,,D. Williams,5111,1997-01-06,,,,,,,,,,1,,,,Notre Dame,Reserve List
2023,21906,84,Dominick,Wood-Anderson,,TE,,D. Wood-Anderson,6035,,,,,,,,,,,1,,,,Tennessee,Reserve List
2023,21913,51,Aaron,Adeoye,,DL,,A. Adeoye,6060,1993-08-26,,,,,,,,,,1,,,,Southeast Missouri St,Active
2023,21922,71,Josiah,Coatney,,DL,,J. Coatney,6033,1996-01-04,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josiah_Coatney_21922.png,,Mississippi,Active
2023,21942,,Delonte,Hood,,DB,,D. Hood,5112,,,,,,,,,,,1,,,,Peru St,Reserve List
2023,21959,,Debione,Renfro,,DB,,D. Renfro,6010,1999-01-19,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Debione_Renfro_21959.png,,Texas A&M,Reserve List
2023,22000,49,Antonio,Ortiz,,ST,,A. Ortiz,6037,,,,,,,,,,,1,,,,Texas Christian,Active
2023,22010,90,Bruce,Hector,,DL,,B. Hector,6022,1994-10-07,,,,,,,,,,1,,,,South Florida,Active
2023,22014,8,Sean,Modster,,WR,,S. Modster,5106,1995-11-13,,,,,,,,,,1,,,,Boise St,Active
2023,22024,52,Isaiah,Graham-Mobley,,LB,,I. Graham-Mobley,6010,,,,,,,,,,,1,,,,Boston College,Active
2023,22030,80,Sal,Cannella,,TE,,S. Cannella,6045,1996-12-02,,,,,,,,,,1,,,,Auburn,Active
2023,22302,24,Darren,Evans,,DB,,D. Evans,6022,,,,,,,,,,,1,,,,Louisiana St,Active
2023,22305,2,Deveon,Smith,,RB,,D. Smith,5112,1994-11-08,,,,,,,,,,1,,,,Michigan,Active
2023,22326,81,Nate,Becker,,TE,,N. Becker,6047,1996-03-24,,,,,,,,,,1,,,,Miami-Oh,Active
2023,22363,85,Tyler,Vaughns,,WR,,T. Vaughns,6020,1997-06-01,,,,,,,,,,1,,,,USC,Active
2023,22375,50,Willie,Taylor,,LB,,W. Taylor,6026,,,,,,,,,,,1,,,,Eastern Kentucky,Active
2023,22529,16,Rannell,Hall,,DB,,R. Hall,6010,,,,,,,,,,,1,,,,Central Florida,Active
2023,22675,18,Donald,Payne,,LB,,D. Payne,6000,,,,,,,,,,,1,,,,Stetson,Active
2023,22718,79,Teton,Saltes,,OL,,T. Saltes,6050,,,,,,,,,,,1,,,,New Mexico,Active
2023,22837,81,Kameron,Brown,,WR,,K. Brown,6023,,,,,,,,,,,1,,,,Coastal Carolina,Reserve List
2023,22877,25,Jordan,Miller,,DB,,J. Miller,6007,,,,,,,,,,,1,,,,Washington,Active
2023,22886,53,Darnell,Sankey,,LB,,D. Sankey,6010,,,,,,,,,,,1,,,,Cal St-Sacramento,Active
2023,20029,21,Joshua,Allen,,DB,,J. Allen,5113,1996-11-08,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Joshua_Allen_20029.png,,Miami-Oh,Active
2023,20045,41,Jesse,Aniebonam,,DL,,J. Aniebonam,6035,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jesse_Aniebonam_20045.png,,Maryland,Reserve List
2023,20053,23,Ryquell,Armstead,,RB,,R. Armstead,5110,1996-10-30,,,,,,,,,,8,,,,Temple,Active
2023,20094,80,Trae,Barry,,ST,,T. Barry,6060,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Trae_Barry_20094.png,,Boston College,Active
2023,20133,1,Chris,Blair,,WR,,C. Blair,6020,,,,,,,,,,,8,,,,Alcorn St,Active
2023,20180,29,Kentrell,Brice,,DB,,K. Brice,5110,1994-08-11,,,,,,,,,,8,,,,Louisiana Tech,Active
2023,20189,20,Jamal,Brooks,,LB,,J. Brooks,6010,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jamal_Brooks_20189.png,,South Alabama,Active
2023,20201,6,Fadol,Brown,,DL,,F. Brown,6040,1993-04-15,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Fadol_Brown_20201.png,,Mississippi,Active
2023,20257,81,K.D.,Cannon,,WR,,K. Cannon,5110,1995-11-05,,,,,,,,,,8,,,,Baylor,Reserve List
2023,20277,,Tyler,Catalina,,OL,,T. Catalina,6035,1993-01-24,,,,,,,,,,8,,,,Georgia,Reserve List
2023,20298,66,Ty,Clary,,OL,,T. Clary,6040,,,,,,,,,,,8,,,,Arkansas,Active
2023,20319,67,Cody,Conway,,OL,,C. Conway,6060,1996-07-09,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Cody_Conway_20319.png,,Syracuse,Active
2023,20327,69,Sam,Cooper,,OL,,S. Cooper,6014,,,,,,,,,,,8,,,,Merrimack,Reserve List
2023,20419,2,Eric,Dungey,,QB,,E. Dungey,6040,1996-06-12,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Eric_Dungey_20419.png,,Syracuse,Active
2023,20474,92,Jazz,Ferguson,,WR,,J. Ferguson,6045,1997-01-12,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jazz_Ferguson_20474.png,,Northwestern St,Reserve List
2023,20480,92,Malik,Fisher,,DL,,M. Fisher,6034,1999-01-28,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Malik_Fisher_20480.png,,Villanova,Active
2023,20503,77,Liam,Fornadel,,OL,,L. Fornadel,6040,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Liam_Fornadel_20503.png,,James Madison,Active
2023,20618,0,Josh,Hammond,,WR,,J. Hammond,6001,1998-07-24,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josh_Hammond_20618.png,,Florida,Active
2023,20699,57,Anthony,Hines,,LB,,A. Hines,6030,,,,,,,,,,,8,,,,Texas A&M,Active
2023,20766,11,Lucky,Jackson,,WR,,L. Jackson,6000,1997-07-17,,,,,,,,,,8,,,,Western Kentucky,Active
2023,20873,24,Anthoula,Kelly,,DB,,A. Kelly,5090,1996-01-28,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Anthoula_Kelly_20873.png,,Fresno St,Active
2023,20951,31,Cameron,Lewis,,DB,,C. Lewis,6003,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Cameron_Lewis_20951.png,,Louisiana St,Active
2023,20966,,Greg,Long,,OL,,G. Long,6034,,,,,,,,,,,8,,,,Purdue,Reserve List
2023,20982,51,Michael,Maietti,,OL,,M. Maietti,6010,,,,,,,,,,,8,,,,Missouri,Active
2023,21028,34,Matthew,McCrane,,ST,,M. McCrane,5100,1994-09-08,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Matthew_Mccrane_21028.png,,Kansas St,Active
2023,21080,48,Andre,Mintze,,LB,,A. Mintze,6030,,,,,,,,,,,8,,,,Vanderbilt,Active
2023,21114,,Parnell,Motley,,DB,,P. Motley,6001,1997-10-28,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Parnell_Motley_21114.png,,Oklahoma,Reserve List
2023,21132,98,Dame,Ndiaye,,DL,,D. Ndiaye,6040,1992-04-13,,,,,,,,,,8,,,,Portland St,Reserve List
2023,21133,26,Dejuan,Neal,,DB,,D. Neal,6000,1996-08-05,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Dejuan_Neal_21133.png,,Shepherd,Active
2023,21148,5,Reggie,Northrup,,LB,,R. Northrup,6010,1993-10-17,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Reggie_Northrup_21148.png,,Florida St,Active
2023,21174,95,Jarrell,Owens,,DL,,J. Owens,6030,1994-10-11,,,,,,,,,,8,,,,Oklahoma St,Active
2023,21182,96,Jacub,Panasiuk,,DL,,J. Panasiuk,6040,,,,,,,,,,,8,,,,Michigan St,Active
2023,21229,28,Artavis,Pierce,,RB,,A. Pierce,5110,1996-05-17,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Artavis_Pierce_21229.png,,Oregon St,Active
2023,21278,39,Santos,Ramirez,,DB,,S. Ramirez,6020,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Santos_Ramirez_21278.png,,Arkansas,Active
2023,21350,38,Nydair,Rouse,,DB,,N. Rouse,6000,1995-07-13,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Nydair_Rouse_21350.png,,West Chester,Active
2023,21360,9,K.J.,Sails,,DB,,K. Sails,5110,1997-05-02,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/KJ_Sails_21360.png,,South Florida,Active
2023,21387,90,Niles,Scott,,DL,,N. Scott,6011,1995-09-30,,,,,,,,,,8,,,,Frostburg St,Reserve List
2023,21427,4,Abram,Smith,,RB,,A. Smith,5110,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Abram_Smith_21427.png,,Baylor,Active
2023,21482,,Ardarius,Stewart,,WR,,A. Stewart,5111,1993-12-08,,,,,,,,,,8,,,,Alabama,Reserve List
2023,21490,72,T.J.,Storment,,OL,,T. Storment,6070,,,,,,,,,,,8,,,,Texas Tech,Active
2023,21564,91,Tariqious,Tisdale,,DL,,T. Tisdale,6047,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Tariqious_Tisdale_21564.png,,Mississippi,Reserve List
2023,21594,90,Markell,Utsey,,DL,,M. Utsey,6040,,,,,,,,,,,8,,,,Arkansas,Reserve List
2023,21621,62,Dwayne,Wallace,,OL,,D. Wallace,6050,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Dwayne_Wallace_21621.png,,Kansas,Reserve List
2023,21623,99,Joseph,Wallace,,DL,,J. Wallace,6010,,,,,,,,,,,8,,,,Sam Houston St,Active
2023,21676,,Jordan,Williams,,DL,,J. Williams,6043,1999-02-12,,,,,,,,,,8,,,,Virginia Tech,Reserve List
2023,21685,8,Pooka,Williams,,WR,,P. Williams,5100,,,,,,,,,,,8,,,,Kansas,Active
2023,21711,82,Ethan,Wolf,,TE,,E. Wolf,6060,1995-11-07,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Ethan_Wolf_21711.png,,Tennessee,Active
2023,21720,98,Gabe,Wright,,DL,,G. Wright,6026,1992-04-03,,,,,,,,,,8,,,,Auburn,Active
2023,21751,22,Travon,Fuller,,DB,,T. Fuller,6010,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Travon_Fuller_21751.png,,Tulsa,Active
2023,21835,19,Daniel,Whelan,,ST,,D. Whelan,6060,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Daniel_Whelan_21835.png,,Cal-Davis,Active
2023,21864,,Holton,Hill,,DB,,H. Hill,6022,1997-03-28,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Holton_Hill_21864.png,,Texas,Reserve List
2023,21888,73,Rod,Taylor,,OL,,R. Taylor,6030,,,,,,,,,,,8,,,,Mississippi,Active
2023,21933,12,Jequez,Ezzard,,WR,,J. Ezzard,5100,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jequez_Ezzard_21933.png,,Sam Houston St,Active
2023,21935,27,Ferrod,Gardner,,LB,,F. Gardner,6010,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Ferrod_Gardner_21935.png,,Louisiana-Lafayette,Active
2023,21980,78,D'Marcus,Hayes,,OL,,D. Hayes,6000,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Dmarcus_Hayes_21980.png,,Georgia,Active
2023,21981,3,Deriq,King,,QB,,D. King,5090,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deriq_King_21981.png,,Miami-Fl,Active
2023,21983,88,Briley,Moore-Mckinney,,TE,,B. Moore-Mckinney,6040,,,,,,,,,,,8,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Briley_Moore-Mckinney_21983.png,,Kansas St,Active
2023,22003,,Kahale,Warring,,TE,,K. Warring,6051,1997-03-23,,,,,,,,,,8,,,,San Diego St,Reserve List
2023,22296,10,Jordan,Ta'amu,,QB,,J. Ta'amu,6030,1997-12-10,,,,,,,,,,8,,,,Mississippi,Active
2023,22318,63,Liam,Ryan,,OL,,L. Ryan,6050,1997-10-29,,,,,,,,,,8,,,,Washington St,Active
2023,22329,43,Francis,Bernard,,LB,,F. Bernard,6010,1995-04-08,,,,,,,,,,8,,,,Utah,Active
2023,22342,16,Chad,Hansen,,WR,,C. Hansen,6017,1995-01-18,,,,,,,,,,8,,,,California,Active
2023,22356,97,Caraun,Reid,,DL,,C. Reid,6021,1991-11-23,,,,,,,,,,8,,,,Princeton,Active
2023,22416,17,Davin,Bellamy,,DL,,D. Bellamy,6050,,,,,,,,,,,8,,,,Georgia,Active
2023,22855,53,Kyle,Murphy,,OL,,K. Murphy,6060,,,,,,,,,,,8,,,,Stanford,Active
2023,22862,15,Michael,Joseph,,DB,,M. Joseph,6000,,,,,,,,,,,8,,,,Dubuque,Active
2023,22880,81,Josh,Malone,,WR,,J. Malone,6026,,,,,,,,,,,8,,,,Tennessee,Active
2023,20033,26,Brycen,Alleyne,,RB,,B. Alleyne,5054,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brycen_Alleyne_20033.png,,Delaware St,Active
2023,20067,90,Josh,Avery,,DL,,J. Avery,6040,1996-03-16,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josh_Avery_20067.png,,Southeast Missouri St,Reserve List
2023,20107,11,Tavante,Beckett,,LB,,T. Beckett,5100,1997-10-21,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Tavante_Beckett_20107.png,,Marshall,Active
2023,20149,22,Max,Borghi,,RB,,M. Borghi,5093,,,,,,,,,,,2,,,,Washington St,Active
2023,20188,,Ellis,Brooks,,LB,,E. Brooks,6013,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Ellis_Brooks_20188.png,,Penn St,Reserve List
2023,20229,1,Deontay,Burnett,,WR,,D. Burnett,5115,1997-10-04,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deontay_Burnett_20229.png,,USC,Active
2023,20241,2,Cedric,Byrd,,WR,,C. Byrd,5093,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Cedric_Byrd_20241.png,,Hawaii,Active
2023,20280,73,Tommy,Champion,,OL,,T. Champion,6046,1997-03-04,,,,,,,,,,2,,,,Mississippi St,Active
2023,20350,45,John,Daka,,LB,,J. Daka,6020,1997-12-07,,,,,,,,,,2,,,,James Madison,Active
2023,20368,23,Sean,Davis,,DB,,S. Davis,6010,1993-10-23,,,,,,,,,,2,,,,Maryland,Active
2023,20424,8,Hunter,Duplessis,,ST,,H. Duplessis,5084,,,,,,,,,,,2,,,,TX-San Antonio,Active
2023,20437,90,Austin,Edwards,,DL,,A. Edwards,6030,1997-08-27,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Austin_Edwards_20437.png,,Ferris St,Reserve List
2023,20443,53,Duke,Ejiofor,,LB,,D. Ejiofor,6033,1995-04-24,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Duke_Ejiofor_20443.png,,Wake Forest,Active
2023,20445,5,Kaleb,Eleby,,QB,,K. Eleby,6006,2000-03-13,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kaleb_Eleby_20445.png,,Western Michigan,Active
2023,20633,3,Ajene,Harris,,DB,,A. Harris,5101,1996-06-02,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Ajene_Harris_20633.png,,USC,Active
2023,20642,6,Travell,Harris,,WR,,T. Harris,5075,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Travell_Harris_20642.png,,Washington St,Active
2023,20675,29,A.J.,Hendy,,DB,,A. Hendy,6005,1993-04-08,,,,,,,,,,2,,,,Maryland,Active
2023,20707,9,Nick,Holley,,WR,,N. Holley,5097,1994-12-05,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Nick_Holley_20707.png,,Kent St,Active
2023,20801,17,Deandre,Johnson,,LB,,D. Johnson,6024,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deandre_Johnson_20801.png,,Miami-Fl,Active
2023,20885,42,Brian,Khoury,,ST,,B. Khoury,6025,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brian_Khoury_20885.png,,Carnegie-Mellon,Active
2023,20896,13,Jontre,Kirklin,,WR,,J. Kirklin,5115,,,,,,,,,,,2,,,,Louisiana St,Active
2023,20940,34,Dejoun,Lee,,RB,,D. Lee,5060,1997-03-14,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Dejoun_Lee_20940.png,,Delaware,Active
2023,20989,50,Chauncey,Manac,,LB,,C. Manac,6027,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Chauncey_Manac_20989.png,,Louisiana-Lafayette,Reserve List
2023,21004,99,Trevon,Mason,,DL,,T. Mason,6055,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Trevon_Mason_21004.png,,Arizona,Active
2023,21087,55,Alex,Mollette,,OL,,A. Mollette,6021,,,,,,,,,,,2,,,,Marshall,Active
2023,21108,18,Jordan,Mosley,,DB,,J. Mosley,6000,,,,,,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jordan_Mosley_21108.png,,Maryland,Active
2023,21125,94,Scean,Mustin,,DL,,S. Mustin,6013,,,,,,,,,,,2,,,,Sam Houston St,Reserve List
