season,game_id,away_team_abv,away_team_id,home_team_abv,home_team_id,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,VisTimeouts,HomeTimeouts,BallOn_Side,BallOn_YardNum,DriveNum,pos_team_ID,PossTeamAbv,LastPlaySummary,LastPlayStatus,home_team_has_pos,yardline_100,VisScore,HomeScore,Down,Distance,MapRoleKicker,FootballStatus,FootballPlayResult,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePasser,MapRoleReceiver,MapRolePassDefender,FootballZone,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_TOP,Result,MapRoleTackler1,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,MapRoleRusher,FootballYards,Drive_Yards,MapRoleSacker1,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,FootballMainScoringPlay,FootballConvAttPts,FootballKickYards,MapRoleTackler2,FootballTimeoutTeamId,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRoleKickreturner,FootballKickRetYards,MapRoleQbHitter,MapRoleSacker2,punt_attempt
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,479,1677370334.0,69134,2023-02-25 19:12:14.000000,EventFootballPat2PtPass,12 L. Perez 2-pt conversion pass to  NO GOOD,,True,1,12,10,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,10,2302006-DC-at-VGS,730,1630,3430,12:10,3,3,Home,5,3,7,,,,1.0,95,0,6,,,,StatusOfficial,ResultPassIncomplete,,,21207,,,1,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,480,1677370463.0,69263,2023-02-25 19:14:23.000000,EventFootballKickoff,"17 D. Bellamy kicks 65 yards from VGS 30 to end zone, Touchback",,True,1,12,3,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,11,2302006-DC-at-VGS,723,1623,3423,12:03,3,3,Home,30,5,7,,,,1.0,70,0,6,,,21784,StatusOfficial,ResultKickTouchback,Visitor,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,481,1677370463.0,69263,2023-02-25 19:14:23.000000,EventFootballRush,1-10-DC 35 (12:03) 4 A. Smith rush to DC 34 for -1 yards (22 A. Sparks),,True,1,12,3,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,12,2302006-DC-at-VGS,723,1623,3423,12:03,3,3,Visitor,35,5,8,,,,0.0,65,0,6,1.0,10.0,,StatusOfficial,,,,,,,1,Visitor,35.0,1.0,2:05, ,21462,,,,,21427,-1.0,-10.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,482,1677370500.0,69300,2023-02-25 19:15:00.000000,EventFootballPass,2-11-DC 34 (11:26) 10 J. Ta'amu pass to 1 C. Blair to DC 44 for 10 yards,,True,1,11,26,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,13,2302006-DC-at-VGS,686,1586,3386,11:26,3,3,Visitor,34,5,8,,,,0.0,66,0,6,2.0,11.0,,StatusOfficial,ResultPassComplete,,,22296,20133,,1,Visitor,35.0,5.0,3:12,PUNT,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,483,1677370680.0,69480,2023-02-25 19:18:00.000000,EventFootballRush,3-1-DC 45 (11:00) 4 A. Smith rush to DC 46 for 1 yard (90 J. Martin),,True,1,11,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,14,2302006-DC-at-VGS,660,1560,3360,11:00,3,3,Visitor,45,5,8,,,,0.0,55,0,6,3.0,1.0,,StatusOfficial,,,,,,,4,Visitor,35.0,5.0,3:12,PUNT,21948,,,,,21427,1.0,10.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,486,1677370690.0,69490,2023-02-25 19:18:10.000000,EventFootballPass,2-10-VGS 44 (9:48) 10 J. Ta'amu pass incomplete to 0 J. Hammond,,True,1,9,48,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,17,2302006-DC-at-VGS,588,1488,3288,9:48,3,3,Home,44,5,8,,,,0.0,44,0,6,2.0,10.0,,StatusOfficial,ResultPassIncomplete,,,22296,20618,,1,Visitor,35.0,5.0,3:12,PUNT,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,485,1677370690.0,69490,2023-02-25 19:18:10.000000,EventFootballPass,1-10-VGS 44 (9:59) 10 J. Ta'amu pass incomplete to 0 J. Hammond,,True,1,9,59,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,16,2302006-DC-at-VGS,599,1499,3299,9:59,3,3,Home,44,5,8,,,,0.0,44,0,6,1.0,10.0,,StatusOfficial,ResultPassIncomplete,,,22296,20618,,1,Visitor,35.0,5.0,3:12,PUNT,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,484,1677370690.0,69490,2023-02-25 19:18:10.000000,EventFootballPass,1-10-DC 45 (10:43) 10 J. Ta'amu pass to 1 C. Blair to VGS 44 for 11 yards (22 A. Sparks),,True,1,10,43,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,15,2302006-DC-at-VGS,643,1543,3343,10:43,3,3,Visitor,45,5,8,,,,0.0,55,0,6,1.0,10.0,,StatusOfficial,ResultPassComplete,,,22296,20133,,1,Visitor,35.0,7.0,3:12,PUNT,21462,,,,,,11.0,21.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,487,1677370728.0,69528,2023-02-25 19:18:48.000000,EventFootballPass,3-10-VGS 44 (9:25) 10 J. Ta'amu pass incomplete to 0 J. Hammond,,True,1,9,25,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,18,2302006-DC-at-VGS,565,1465,3265,9:25,3,3,Home,44,5,8,,,,0.0,44,0,6,3.0,10.0,,StatusOfficial,ResultPassIncomplete,,,22296,20618,,1,Visitor,35.0,5.0,3:12, ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,488,1677370739.0,69539,2023-02-25 19:18:59.000000,EventFootballPunt,"4-10-VGS 44 (8:58) 19 D. Whelan punts 26 yards from VGS 44 to 10 M. Sexton, Fair Catch at VGS 18",,True,1,8,58,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,19,2302006-DC-at-VGS,538,1438,3238,8:58,3,3,Home,44,5,8,,,,0.0,44,0,6,4.0,10.0,,StatusOfficial,ResultKickFaircatch,Home,18.0,,,,,Visitor,35.0,5.0,3:12,PUNT,,21835,21882,26.0,,,,21.0,,,,,,,,,,,,,,,,,,,,,1
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,489,1677370911.0,69711,2023-02-25 19:21:51.000000,EventFootballRush,"1-10-VGS 18 (8:56) 15 R. Smith rush to VGS 23 for 5 yards (5 R. Northrup, 26 D. Neal)",,True,1,8,56,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,20,2302006-DC-at-VGS,536,1436,3236,8:56,3,3,Home,18,6,7,,,,1.0,82,0,6,1.0,10.0,,StatusOfficial,,,,,,,1,Home,18.0,1.0,0:19, ,21148,,,,,21447,5.0,5.0,,,,,,,,,,21133,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,490,1677370939.0,69739,2023-02-25 19:22:19.000000,EventFootballRush,"2-5-VGS 23 (8:28) 15 R. Smith rush to VGS 26 for 3 yards (98 G. Wright, 97 C. Reid)",,True,1,8,28,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,21,2302006-DC-at-VGS,508,1408,3208,8:28,3,3,Home,23,6,7,,,,1.0,77,0,6,2.0,5.0,,StatusOfficial,,,,,,,1,Home,18.0,2.0,0:53, ,21720,,,,,21447,3.0,8.0,,,,,,,,,,22356,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,491,1677370981.0,69781,2023-02-25 19:23:01.000000,EventFootballPass,3-2-VGS 26 (7:46) 2 B. Hundley pass incomplete to 4 M. Bryant,,True,1,7,46,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,22,2302006-DC-at-VGS,466,1366,3166,7:46,3,3,Home,26,6,7,,,,1.0,74,0,6,3.0,2.0,,StatusOfficial,ResultPassIncomplete,,,22876,20218,,1,Home,18.0,3.0,1:14, ,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,492,1677370997.0,69797,2023-02-25 19:23:17.000000,EventFootballPunt,"4-2-VGS 26 (7:41) 17 M. Carrizosa punts 49 yards from VGS 26 to DC 25. 12 J. Ezzard to DC 35 for 10 yards (11 P. Dawson, 28 C. Avery)",,True,1,7,41,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,23,2302006-DC-at-VGS,461,1361,3161,7:41,3,3,Home,26,6,7,,,,1.0,74,0,6,4.0,2.0,,StatusOfficial,ResultKickReturned,Visitor,35.0,,,,,Home,18.0,3.0,1:17,PUNT,20766,21784,21933,49.0,10.0,,,8.0,,,,,,,,,,21229,,,,,,,,,,,1
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,493,1677371066.0,69866,2023-02-25 19:24:26.000000,EventFootballPass,1-10-DC 35 (7:07) 10 J. Ta'amu pass dropped by 11 L. Jackson,,True,1,7,7,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,24,2302006-DC-at-VGS,427,1327,3127,7:07,3,3,Visitor,35,7,8,,,,0.0,65,0,6,1.0,10.0,,StatusOfficial,ResultPassDropped,,,22296,20766,,1,Visitor,35.0,1.0,0:07, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,494,1677371092.0,69892,2023-02-25 19:24:52.000000,EventFootballPass,2-10-DC 35 (6:47) 10 J. Ta'amu pass to 82 E. Wolf to DC 42 for 7 yards (22 A. Sparks),,True,1,6,47,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,25,2302006-DC-at-VGS,407,1307,3107,6:47,3,3,Visitor,35,7,8,,,,0.0,65,0,6,2.0,10.0,,StatusOfficial,ResultPassComplete,,,22296,21711,,1,Visitor,35.0,6.0,4:18,PUNT,21462,,,,,,7.0,26.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,495,1677371121.0,69921,2023-02-25 19:25:21.000000,EventFootballRush,3-5-DC 40 (6:18) 10 J. Ta'amu rush to VGS 40 for 20 yards,,True,1,6,18,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,26,2302006-DC-at-VGS,378,1278,3078,6:18,3,3,Visitor,40,7,8,,,,0.0,60,0,6,3.0,5.0,,StatusOfficial,,,,,,,1,Visitor,35.0,6.0,4:18,PUNT,,,,,,22296,20.0,26.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,496,1677371163.0,69963,2023-02-25 19:26:03.000000,EventFootballRush,1-10-VGS 38 (5:49) 23 R. Armstead rush to VGS 37 for 1 yard (90 J. Martin),,True,1,5,49,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,27,2302006-DC-at-VGS,349,1249,3049,5:49,3,3,Home,38,7,8,,,,0.0,38,0,6,1.0,10.0,,StatusOfficial,,,,,,,1,Visitor,35.0,4.0,1:33, ,21948,,,,,20053,1.0,28.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,497,1677371200.0,70000,2023-02-25 19:26:40.000000,EventFootballPass,2-9-VGS 37 (5:11) 10 J. Ta'amu pass to 1 C. Blair to VGS 29 for 8 yards (22 A. Sparks),,True,1,5,11,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,28,2302006-DC-at-VGS,311,1211,3011,5:11,3,3,Home,37,7,8,,,,0.0,37,0,6,2.0,9.0,,StatusOfficial,ResultPassComplete,,,22296,20133,,1,Visitor,35.0,5.0,2:20, ,21462,,,,,,8.0,36.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,498,1677371240.0,70040,2023-02-25 19:27:20.000000,EventFootballTimeout,Timeout by D.C. Defenders at 4:37,,True,1,4,37,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,29,2302006-DC-at-VGS,277,1177,2977,4:37,3,3,Home,29,7,8,,,,0.0,29,0,6,3.0,1.0,,StatusOfficial,,,,,,,,Visitor,35.0,5.0,2:35, ,,,,,,,,36.0,,,,,,,,,,,8,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,499,1677371306.0,70106,2023-02-25 19:28:26.000000,EventFootballRush,3-1-VGS 29 (4:34) 10 J. Ta'amu rush to VGS 29 for 0 yards (88 R. Windsor),,True,1,4,34,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,30,2302006-DC-at-VGS,274,1174,2974,4:34,2,3,Home,29,7,8,,,,0.0,29,0,6,3.0,1.0,,StatusOfficial,,,,,,,1,Visitor,35.0,6.0,3:05, ,21975,,,,,22296,0.0,36.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,500,1677371367.0,70167,2023-02-25 19:29:27.000000,EventFootballPenalty,"4-1-VGS 29 (3:48) PENALTY on D.C. Defenders, 10 yards",,True,1,3,48,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,31,2302006-DC-at-VGS,228,1128,2928,3:48,2,3,Home,29,7,8,,,,0.0,29,0,6,4.0,1.0,,StatusOfficial,,,,,,,,Visitor,35.0,6.0,3:24, ,,,,,,,,26.0,,,,,,,,,,,,8,TM,10.0,ResultPenaltyRepeatdown,NA,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,501,1677371410.0,70210,2023-02-25 19:30:10.000000,EventFootballPunt,"4-11-VGS 39 (3:23) 19 D. Whelan punts 31 yards from VGS 39 to 10 M. Sexton, Fair Catch at VGS 8",,True,1,3,23,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,32,2302006-DC-at-VGS,203,1103,2903,3:23,2,3,Home,39,7,8,,,,0.0,39,0,6,4.0,11.0,,StatusOfficial,ResultKickFaircatch,Home,8.0,,,,,Visitor,35.0,6.0,4:18,PUNT,,21835,21882,31.0,,,,26.0,,,,,,,,,,,,,,,,,,,,,1
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,502,1677371620.0,70420,2023-02-25 19:33:40.000000,EventFootballRush,"1-10-VGS 8 (3:17) 8 J. Lovett rush to VGS 11 for 3 yards (43 F. Bernard, 26 D. Neal)",,True,1,3,17,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,33,2302006-DC-at-VGS,197,1097,2897,3:17,2,3,Home,8,8,7,,,,1.0,92,0,6,1.0,10.0,,StatusOfficial,,,,,,,1,Home,8.0,1.0,0:13, ,22329,,,,,21872,3.0,3.0,,,,,,,,,,21133,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,503,1677371656.0,70456,2023-02-25 19:34:16.000000,EventFootballRush,2-7-VGS 11 (2:41) 8 J. Lovett rush to VGS 12 for 1 yard (92 M. Fisher),,True,1,2,41,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,34,2302006-DC-at-VGS,161,1061,2861,2:41,2,3,Home,11,8,7,,,,1.0,89,0,6,2.0,7.0,,StatusOfficial,,,,,,,1,Home,8.0,2.0,0:47, ,20480,,,,,21872,1.0,4.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,504,1677371699.0,70499,2023-02-25 19:34:59.000000,EventFootballTimeout,Timeout by Vegas Vipers at 2:02,,True,1,2,2,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,35,2302006-DC-at-VGS,122,1022,2822,2:02,2,3,Home,12,8,7,,,,1.0,88,0,6,3.0,6.0,,StatusOfficial,,,,,,,,Home,8.0,2.0,1:17, ,,,,,,,,4.0,,,,,,,,,,,7,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,505,1677371777.0,70577,2023-02-25 19:36:17.000000,EventFootballPass,3-6-VGS 12 (1:59) 2 B. Hundley pass to 14 C. Sweeting to VGS 20 for 8 yards (57 A. Hines),,True,1,1,59,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,36,2302006-DC-at-VGS,119,1019,2819,1:59,2,2,Home,12,8,7,,,,1.0,88,0,6,3.0,6.0,,StatusOfficial,ResultPassComplete,,,22876,21507,,1,Home,8.0,8.0,4:22,PUNT,20699,,,,,,8.0,27.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,506,1677371813.0,70613,2023-02-25 19:36:53.000000,EventFootballPass,1-10-VGS 20 (1:22) 2 B. Hundley pass to 86 B. Dillon to VGS 26 for 6 yards (15 M. Joseph),,True,1,1,22,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,37,2302006-DC-at-VGS,82,982,2782,1:22,2,2,Home,20,8,7,,,,1.0,80,0,6,1.0,10.0,,StatusOfficial,ResultPassComplete,,,22876,20392,,1,Home,8.0,4.0,2:29, ,22862,,,,,,6.0,18.0,,,,,,,,,,,,,,,,,,,,,0
