season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,MapRolePasser,MapRoleReceiver,MapRoleTackler1,MapRoleTackler2,down,ydstogo,FootballStatus,FootballPlayResult,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRoleRusher,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePassDefender,FootballMainScoringPlay,FootballConvAttPts,MapRoleSacker1,FootballTimeoutTeamId,MapRoleKicker,MapRoleKickreturner,FootballKickRetYards,MapRoleSacker2,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,FootballMiscScore_MiscScoreType,FootballMiscScore_TeamId,FootballMiscScore_PlayerId,MapRoleInterceptor,FootballZone,MapRoleQbHitter,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,566,1681081800.0,69000,2023-04-09 23:10:00.000000,EventFootballRush,"2-10-SEA 18 (11:50) 30 P. Lindsay rush to SEA 18 for 0 yards (57 A. Hines, 96 J. Panasiuk)",,True,1,11,50,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,10,2302032-DC-at-SEA,710,1610,3410,11:50,6,,,1.0,SEA,DC,0.0,3,3,3.0,3.0,Home,18,2,82.0,0,0,0,,,20699,21182,2.0,10.0,StatusOfficial,,0.0,Home,18.0,2.0,,0:50, ,22901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,25,1681081838.0,69038,2023-04-09 23:10:38.000000,EventFootballPass,3-10-SEA 18 (11:11) 6 B. DiNucci pass to 30 P. Lindsay to SEA 26 for 8 yards (43 F. Bernard),,True,1,11,11,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,11,2302032-DC-at-SEA,671,1571,3371,11:11,6,,,1.0,SEA,DC,0.0,3,3,3.0,3.0,Home,18,2,82.0,0,0,0,21979,22901,22329,,3.0,10.0,StatusOfficial,ResultPassComplete,8.0,Home,18.0,3.0,8.0,1:31, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,30,1681081893.0,69093,2023-04-09 23:11:33.000000,EventFootballPunt,4-2-SEA 26 (10:17) 10 C. Nizialek punts 38 yards out of bounds at DC 36,,True,1,10,17,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,12,2302032-DC-at-SEA,617,1517,3317,10:17,6,,,1.0,SEA,DC,0.0,3,3,3.0,3.0,Home,26,2,74.0,0,0,0,,,,,4.0,2.0,StatusOfficial,ResultKickOutofbounds,,Home,18.0,3.0,8.0,2:11,PUNT,,,,,,,21997,,38.0,,Visitor,36.0,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,32,1681082103.0,69303,2023-04-09 23:15:03.000000,EventFootballPass,"1-10-DC 36 (10:13) 10 J. Ta'amu pass to 1 C. Blair to DC 46 for 10 yards (9 C. Hicks, 21 L. Stephens)",,True,1,10,13,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,13,2302032-DC-at-SEA,613,1513,3313,10:13,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,36,3,64.0,0,0,0,22296,20133,22344,21963,1.0,10.0,StatusOfficial,ResultPassComplete,10.0,Visitor,36.0,1.0,10.0,0:19, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,34,1681082128.0,69328,2023-04-09 23:15:28.000000,EventFootballPass,1-10-DC 46 (9:48) 10 J. Ta'amu pass to 1 C. Blair to SEA 2 for 52 yards (21 L. Stephens),,True,1,9,48,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,14,2302032-DC-at-SEA,588,1488,3288,9:48,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,46,3,54.0,0,0,0,22296,20133,21963,,1.0,10.0,StatusOfficial,ResultPassComplete,52.0,Visitor,36.0,2.0,62.0,0:39, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,36,1681082161.0,69361,2023-04-09 23:16:01.000000,EventFootballRush,"1-2-SEA 2 (9:22) 4 A. Smith rush for 2 yards, TOUCHDOWN",,True,1,9,22,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,15,2302032-DC-at-SEA,562,1462,3262,9:22,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Home,2,3,2.0,0,0,0,,,,,1.0,2.0,StatusOfficial,,2.0,Visitor,36.0,3.0,64.0,0:55,TD,21427,,,,,,,,,,,,,ScoreTypeTd,,,,,,,,,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,38,1681082194.0,69394,2023-04-09 23:16:34.000000,EventFootballPat2PtPass,FROM SEA 5 (9:22) 10 J. Ta'amu 2-pt conversion pass to 11 L. Jackson GOOD,,True,1,9,22,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,16,2302032-DC-at-SEA,562,1462,3262,9:22,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Home,5,3,5.0,0,6,0,22296,20766,,,,,StatusOfficial,ResultPassComplete,5.0,,,,,,,,,,,,,,,,,,,,ScoreTypeConv,2.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,568,1681082293.0,69493,2023-04-09 23:18:13.000000,EventFootballKickoff,"FROM DC 30 (9:21) 34 M. McCrane kicks from DC 30. 86 K. McKnight to SEA 26 for 21 yards (27 F. Gardner, 57 A. Hines)",,True,1,9,21,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,17,2302032-DC-at-SEA,561,1461,3261,9:21,6,,,1.0,SEA,DC,0.0,3,3,3.0,3.0,Visitor,30,4,30.0,0,8,0,,,21935,20699,,,StatusOfficial,ResultKickReturned,,,,,,,,,,,,,,,,,,Home,26.0,,,,,,21028,21875,21.0,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,42,1681082371.0,69571,2023-04-09 23:19:31.000000,EventFootballPenalty,"1-10-SEA 26 (9:04) PENALTY on (SEA) 55 C. Owens, 5 yards",,True,1,9,4,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,18,2302032-DC-at-SEA,544,1444,3244,9:04,6,,,1.0,SEA,DC,0.0,3,3,3.0,3.0,Home,26,4,74.0,0,8,0,,,,,1.0,10.0,StatusOfficial,,,Home,26.0,,-5.0,0:18, ,,6,21172,5.0,ResultPenaltyRepeatdown,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,44,1681082407.0,69607,2023-04-09 23:20:07.000000,EventFootballPass,1-15-SEA 21 (8:42) 6 B. DiNucci pass incomplete to 0 J. Gordon Pass Defended by 99 J. Wallace,,True,1,8,42,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,19,2302032-DC-at-SEA,522,1422,3222,8:42,6,,,1.0,SEA,DC,0.0,3,3,3.0,3.0,Home,21,4,79.0,0,8,0,21979,22840,,,1.0,15.0,StatusOfficial,ResultPassIncomplete,,Home,26.0,1.0,-5.0,0:40, ,,,,,,,,,,,,,21623,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,46,1681082448.0,69648,2023-04-09 23:20:48.000000,EventFootballPass,2-15-SEA 21 (8:12) 6 B. DiNucci pass to 80 B. Jackson to SEA 25 for 4 yards (38 N. Rouse),,True,1,8,12,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,20,2302032-DC-at-SEA,492,1392,3192,8:12,6,,,1.0,SEA,DC,0.0,3,3,3.0,3.0,Home,21,4,79.0,0,8,0,21979,20761,21350,,2.0,15.0,StatusOfficial,ResultPassComplete,4.0,Home,26.0,2.0,-1.0,1:29, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,48,1681082488.0,69688,2023-04-09 23:21:28.000000,EventFootballPass,3-11-SEA 25 (7:31) 6 B. DiNucci pass incomplete to 3 J. Pearson,,True,1,7,31,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,21,2302032-DC-at-SEA,451,1351,3151,7:31,6,,,1.0,SEA,DC,0.0,3,3,3.0,3.0,Home,25,4,75.0,0,8,0,21979,21203,,,3.0,11.0,StatusOfficial,ResultPassIncomplete,,Home,26.0,3.0,-1.0,1:51, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,51,1681082526.0,69726,2023-04-09 23:22:06.000000,EventFootballPunt,4-11-SEA 25 (7:02) 10 C. Nizialek punts 52 yards out of bounds at DC 35,,True,1,7,2,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,22,2302032-DC-at-SEA,422,1322,3122,7:02,6,,,1.0,SEA,DC,0.0,3,3,3.0,3.0,Home,25,4,75.0,0,8,0,,,,,4.0,11.0,StatusOfficial,ResultKickOutofbounds,,Home,26.0,3.0,-1.0,2:20,PUNT,,,,,,,21997,,52.0,,Visitor,35.0,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,54,1681082741.0,69941,2023-04-09 23:25:41.000000,EventFootballRush,1-10-DC 35 (6:59) 23 R. Armstead rush to DC 35 for 0 yards (52 A. Jackson),,True,1,6,59,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,23,2302032-DC-at-SEA,419,1319,3119,6:59,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,35,5,65.0,0,8,0,,,20760,,1.0,10.0,StatusOfficial,,0.0,Visitor,35.0,1.0,,0:31, ,20053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,56,1681082775.0,69975,2023-04-09 23:26:15.000000,EventFootballPass,2-10-DC 35 (6:26) 10 J. Ta'amu pass incomplete to 0 J. Hammond Pass Defended by 2 A. Brooks,,True,1,6,26,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,24,2302032-DC-at-SEA,386,1286,3086,6:26,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,35,5,65.0,0,8,0,22296,20618,,,2.0,10.0,StatusOfficial,ResultPassIncomplete,,Visitor,35.0,2.0,,0:38, ,,,,,,,,,,,,,21919,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,58,1681082810.0,70010,2023-04-09 23:26:50.000000,EventFootballPass,3-10-DC 35 (5:58) 10 J. Ta'amu pass to 1 C. Blair to DC 47 for 12 yards (32 Q. Cole),,True,1,5,58,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,25,2302032-DC-at-SEA,358,1258,3058,5:58,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,35,5,65.0,0,8,0,22296,20133,20311,,3.0,10.0,StatusOfficial,ResultPassComplete,12.0,Visitor,35.0,3.0,12.0,1:17, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,61,1681082832.0,70032,2023-04-09 23:27:12.000000,EventFootballRush,"1-10-DC 47 (5:35) 23 R. Armstead rush to SEA 49 for 4 yards (8 T. Walker, 9 C. Hicks)",,True,1,5,35,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,26,2302032-DC-at-SEA,335,1235,3035,5:35,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,47,5,53.0,0,8,0,,,21620,22344,1.0,10.0,StatusOfficial,,4.0,Visitor,35.0,4.0,16.0,1:58, ,20053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,63,1681082876.0,70076,2023-04-09 23:27:56.000000,EventFootballRush,2-6-SEA 49 (5:00) 23 R. Armstead rush to SEA 45 for 4 yards (21 L. Stephens),,True,1,5,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,27,2302032-DC-at-SEA,300,1200,3000,5:00,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Home,49,5,49.0,0,8,0,,,21963,,2.0,6.0,StatusOfficial,,4.0,Visitor,35.0,5.0,20.0,2:09, ,20053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,65,1681082900.0,70100,2023-04-09 23:28:20.000000,EventFootballRush,3-2-SEA 45 (4:36) 10 J. Ta'amu rush to SEA 39 for 6 yards (5 C. Payton-Jones),,True,1,4,36,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,28,2302032-DC-at-SEA,276,1176,2976,4:36,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Home,45,5,45.0,0,8,0,,,20836,,3.0,2.0,StatusOfficial,,6.0,Visitor,35.0,6.0,26.0,2:35, ,22296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,67,1681082931.0,70131,2023-04-09 23:28:51.000000,EventFootballSack,1-10-SEA 39 (4:05) 10 J. Ta'amu sacked at SEA 46 for -7 yards (9 C. Hicks),,True,1,4,5,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,29,2302032-DC-at-SEA,245,1145,2945,4:05,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Home,39,5,39.0,0,8,0,22296,,,,1.0,10.0,StatusOfficial,,-7.0,Visitor,35.0,7.0,19.0,3:11, ,,,,,,,,,,,,,,,,22344,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,69,1681082972.0,70172,2023-04-09 23:29:32.000000,EventFootballRush,2-17-SEA 46 (3:24) 3 D. King rush to SEA 39 for 7 yards (2 A. Brooks),,True,1,3,24,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,30,2302032-DC-at-SEA,204,1104,2904,3:24,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Home,46,5,46.0,0,8,0,,,21919,,2.0,17.0,StatusOfficial,,7.0,Visitor,35.0,8.0,26.0,3:51, ,21981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,71,1681083004.0,70204,2023-04-09 23:30:04.000000,EventFootballPass,3-10-SEA 39 (2:52) 3 D. King pass incomplete to 11 L. Jackson,,True,1,2,52,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,31,2302032-DC-at-SEA,172,1072,2872,2:52,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Home,39,5,39.0,0,8,0,21981,20766,,,3.0,10.0,StatusOfficial,ResultPassIncomplete,,Visitor,35.0,9.0,26.0,4:10, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
