season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,down,ydstogo,MapRoleTackler1,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePasser,MapRoleReceiver,MapRoleTackler2,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRoleQbHitter,MapRoleRusher,MapRoleSacker1,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,FootballMainScoringPlay,FootballConvAttPts,MapRolePassDefender,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,FootballTimeoutTeamId,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRoleInterceptor,FootballZone,MapRoleSacker2,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,434,1684020430.0,70030,2023-05-13 19:27:10.000000,EventFootballRush,1-10-DC 29 (10:50) 10 J. Ta'amu rush to DC 28 for -1 yards (45 W. Clarke),,True,1,10,50,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,11,2303003-Champ,650,1550,3350,10:50,8,,,1.0,DC,ARL,0.0,3,3,3.0,3.0,Home,29,2,71.0,0,6,0,1.0,10.0,20296,,,StatusOfficial,,,,,,,,-1.0,Home,29.0,1.0,-1.0,0:18, ,,22296,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,435,1684020457.0,70057,2023-05-13 19:27:37.000000,EventFootballPass,2-11-DC 28 (10:23) 10 J. Ta'amu pass incomplete to 1 C. Blair Pass Defended by 53 D. Sankey,,True,1,10,23,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,12,2303003-Champ,623,1523,3323,10:23,8,,,1.0,DC,ARL,0.0,3,3,3.0,3.0,Home,28,2,72.0,0,6,0,2.0,11.0,,,,StatusOfficial,ResultPassIncomplete,,,,22296,20133,,,Home,29.0,2.0,-1.0,0:43, ,,,,,,,,,,,22886,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,436,1684020490.0,70090,2023-05-13 19:28:10.000000,EventFootballPass,3-11-DC 28 (9:56) 10 J. Ta'amu pass incomplete to 0 J. Hammond Pass Defended by 21 C. LeBlanc,,True,1,9,56,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,13,2303003-Champ,596,1496,3296,9:56,8,,,1.0,DC,ARL,0.0,3,3,3.0,3.0,Home,28,2,72.0,0,6,0,3.0,11.0,,,,StatusOfficial,ResultPassIncomplete,,,,22296,20618,,,Home,29.0,3.0,-1.0,1:11, ,,,,,,,,,,,21798,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,437,1684020530.0,70130,2023-05-13 19:28:50.000000,EventFootballPunt,"4-11-DC 28 (9:21) 19 D. Whelan punts 64 yards from DC 28 to ARL 8. 4 J. Powell to ARL 12 for 4 yards (18 A. Ellis, 20 J. Brooks)",,True,1,9,21,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,14,2303003-Champ,561,1461,3261,9:21,8,,,1.0,DC,ARL,0.0,3,3,3.0,3.0,Home,28,2,72.0,0,6,0,4.0,11.0,20448,,,StatusOfficial,ResultKickReturned,,Visitor,12.0,,,20189,,Home,29.0,3.0,-1.0,1:37,PUNT,,,,,,,,,,,,21835,21251,64.0,4.0,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,438,1684020593.0,70193,2023-05-13 19:29:53.000000,EventFootballRush,"1-10-ARL 12 (9:13) 2 D. Smith rush to ARL 19 for 7 yards (98 G. Wright, 36 D. Swearinger)",,True,1,9,13,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,15,2303003-Champ,553,1453,3253,9:13,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Visitor,12,3,88.0,0,6,0,1.0,10.0,21720,,,StatusOfficial,,,,,,,22902,7.0,Visitor,12.0,1.0,7.0,0:16, ,,22305,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,439,1684020632.0,70232,2023-05-13 19:30:32.000000,EventFootballRush,"2-3-ARL 19 (8:33) 2 D. Smith rush to ARL 24 for 5 yards (95 J. Owens, 39 S. Ramirez)",,True,1,8,33,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,16,2303003-Champ,513,1413,3213,8:33,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Visitor,19,3,81.0,0,6,0,2.0,3.0,21174,,,StatusOfficial,,,,,,,21278,5.0,Visitor,12.0,2.0,12.0,0:57, ,,22305,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,440,1684020673.0,70273,2023-05-13 19:31:13.000000,EventFootballPass,1-10-ARL 24 (7:54) 12 L. Perez pass incomplete to 19 B. Arconado Pass Defended by 6 F. Brown,,True,1,7,54,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,17,2303003-Champ,474,1374,3174,7:54,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Visitor,24,3,76.0,0,6,0,1.0,10.0,,,,StatusOfficial,ResultPassIncomplete,,,,21207,20050,,,Visitor,12.0,3.0,12.0,1:50, ,,,,,,,,,,,20201,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,441,1684020710.0,70310,2023-05-13 19:31:50.000000,EventFootballPass,2-10-ARL 24 (7:21) 12 L. Perez pass to 19 B. Arconado to ARL 26 for 2 yards (24 A. Kelly),,True,1,7,21,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,18,2303003-Champ,441,1341,3141,7:21,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Visitor,24,3,76.0,0,6,0,2.0,10.0,20873,,,StatusOfficial,ResultPassComplete,,,,21207,20050,,2.0,Visitor,12.0,4.0,14.0,2:07, ,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,442,1684020751.0,70351,2023-05-13 19:32:31.000000,EventFootballPass,3-8-ARL 26 (6:41) 12 L. Perez pass to 85 T. Vaughns to DC 45 for 29 yards (29 K. Brice),,True,1,6,41,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,19,2303003-Champ,401,1301,3101,6:41,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Visitor,26,3,74.0,0,6,0,3.0,8.0,20180,,,StatusOfficial,ResultPassComplete,,,,21207,22363,,29.0,Visitor,12.0,5.0,43.0,2:47, ,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,443,1684020784.0,70384,2023-05-13 19:33:04.000000,EventFootballPass,1-10-DC 45 (6:09) 12 L. Perez pass to 85 T. Vaughns to DC 41 for 4 yards (24 A. Kelly),,True,1,6,9,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,20,2303003-Champ,369,1269,3069,6:09,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Home,45,3,45.0,0,6,0,1.0,10.0,20873,,,StatusOfficial,ResultPassComplete,,,,21207,22363,,4.0,Visitor,12.0,6.0,47.0,3:22, ,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,444,1684020897.0,70497,2023-05-13 19:34:57.000000,EventFootballPass,2-6-DC 41 (5:18) 12 L. Perez pass to 85 T. Vaughns to DC 35 for 6 yards (9 K. Sails),,True,1,5,18,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,21,2303003-Champ,318,1218,3018,5:18,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Home,41,3,41.0,0,6,0,2.0,6.0,21360,,,StatusOfficial,ResultPassComplete,,,,21207,22363,,6.0,Visitor,12.0,7.0,53.0,4:08, ,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,445,1684020934.0,70534,2023-05-13 19:35:34.000000,EventFootballRush,"1-10-DC 35 (4:48) 2 D. Smith rush to DC 37 for -2 yards (43 F. Bernard, 96 J. Panasiuk)",,True,1,4,48,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,22,2303003-Champ,288,1188,2988,4:48,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Home,35,3,35.0,0,6,0,1.0,10.0,22329,,,StatusOfficial,,,,,,,21182,-2.0,Visitor,12.0,8.0,51.0,4:41, ,,22305,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,446,1684020976.0,70576,2023-05-13 19:36:16.000000,EventFootballPass,2-12-DC 37 (4:07) 12 L. Perez pass incomplete to 11 L. Winningham,,True,1,4,7,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,23,2303003-Champ,247,1147,2947,4:07,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Home,37,3,37.0,0,6,0,2.0,12.0,,,,StatusOfficial,ResultPassIncomplete,,,,21207,21707,,,Visitor,12.0,9.0,51.0,5:07, ,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,447,1684021013.0,70613,2023-05-13 19:36:53.000000,EventFootballPass,3-12-DC 37 (3:42) 12 L. Perez pass to 3 J. Payton to DC 25 for 12 yards (9 K. Sails),,True,1,3,42,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,24,2303003-Champ,222,1122,2922,3:42,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Home,37,3,37.0,0,6,0,3.0,12.0,21360,,,StatusOfficial,ResultPassComplete,,,,21207,22354,,12.0,Visitor,12.0,10.0,63.0,5:40, ,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,448,1684021049.0,70649,2023-05-13 19:37:29.000000,EventFootballPass,1-10-DC 25 (3:14) 12 L. Perez pass to 3 J. Payton to DC 16 for 9 yards (5 R. Northrup),,True,1,3,14,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,25,2303003-Champ,194,1094,2894,3:14,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Home,25,3,25.0,0,6,0,1.0,10.0,21148,,,StatusOfficial,ResultPassComplete,,,,21207,22354,,9.0,Visitor,12.0,11.0,72.0,6:17, ,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,449,1684021090.0,70690,2023-05-13 19:38:10.000000,EventFootballRush,"2-1-DC 16 (2:37) 2 D. Smith rush to DC 17 for -1 yards (99 J. Wallace, 5 R. Northrup)",,True,1,2,37,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,26,2303003-Champ,157,1057,2857,2:37,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Home,16,3,16.0,0,6,0,2.0,1.0,21623,,,StatusOfficial,,,,,,,21148,-1.0,Visitor,12.0,12.0,71.0,6:52, ,,22305,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,450,1684021135.0,70735,2023-05-13 19:38:55.000000,EventFootballTimeout,3-2-DC 17 (2:01) Timeout by Arlington Renegades at 2:01,,True,1,2,1,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,27,2303003-Champ,121,1021,2821,2:01,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Home,17,3,17.0,0,6,0,3.0,2.0,,,,StatusOfficial,,,,,,,,,Visitor,12.0,12.0,71.0,7:13, ,,,,,,,,,,,,,,,,1,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,451,1684021335.0,70935,2023-05-13 19:42:15.000000,EventFootballRush,"3-2-DC 17 (1:57) 10 K. Bryant rush to DC 6 for 11 yards (43 F. Bernard, 9 K. Sails)",,True,1,1,57,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,28,2303003-Champ,117,1017,2817,1:57,1,,,0.0,ARL,DC,0.0,2,3,2.0,2.0,Home,17,3,17.0,0,6,0,3.0,2.0,22329,,,StatusOfficial,,,,,,,21360,11.0,Visitor,12.0,13.0,82.0,7:51, ,,20217,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,452,1684021374.0,70974,2023-05-13 19:42:54.000000,EventFootballRush,"1-6-DC 6 (1:17) 10 K. Bryant rush to DC 4 for 2 yards PENALTY on (ARL) 11 L. Winningham, 10 yards",,True,1,1,17,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,29,2303003-Champ,77,977,2777,1:17,1,,,0.0,ARL,DC,0.0,2,3,2.0,2.0,Home,6,3,6.0,0,6,0,1.0,6.0,,,,StatusOfficial,,,,,,,,2.0,Visitor,12.0,14.0,74.0,8:15, ,,20217,,,,,,,,,,,,,,,1,21707,10.0,ResultPenaltyRepeatdown,NA,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,453,1684021484.0,71084,2023-05-13 19:44:44.000000,EventFootballPass,1-14-DC 14 (0:56) 12 L. Perez pass to 80 S. Cannella to DC 9 for 5 yards (5 R. Northrup),,True,1,0,56,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,30,2303003-Champ,56,956,2756,0:56,1,,,0.0,ARL,DC,0.0,2,3,2.0,2.0,Home,14,3,14.0,0,6,0,1.0,14.0,21148,,,StatusOfficial,ResultPassComplete,,,,21207,22030,,5.0,Visitor,12.0,15.0,79.0,8:35, ,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,454,1684021511.0,71111,2023-05-13 19:45:11.000000,EventFootballPass,"2-9-DC 9 (0:29) 12 L. Perez pass to 85 T. Vaughns for 9 yards, TOUCHDOWN",,True,1,0,29,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,31,2303003-Champ,29,929,2729,0:29,1,,,0.0,ARL,DC,0.0,2,3,2.0,2.0,Home,9,3,9.0,0,6,0,2.0,9.0,,,,StatusOfficial,ResultPassComplete,,,,21207,22363,,9.0,Visitor,12.0,16.0,88.0,8:45,TD,,,,,,,,,ScoreTypeTd,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,455,1684021536.0,71136,2023-05-13 19:45:36.000000,EventFootballPat2PtPass,FROM DC 5 (0:29) 12 L. Perez 2-pt conversion pass to 2 D. Smith GOOD,,True,1,0,29,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,32,2303003-Champ,29,929,2729,0:29,1,,,0.0,ARL,DC,0.0,2,3,2.0,2.0,Home,5,3,5.0,0,12,0,,,,,,StatusOfficial,ResultPassComplete,,,,21207,22305,,5.0,,,,,,,,,,,,,,,ScoreTypeConv,2.0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
