season,game_id,away_team_abv,away_team_id,home_team_abv,home_team_id,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,VisTimeouts,HomeTimeouts,BallOn_Side,BallOn_YardNum,DriveNum,pos_team_ID,PossTeamAbv,LastPlaySummary,LastPlayStatus,home_team_has_pos,yardline_100,VisScore,HomeScore,MapRoleTackler1,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRoleRusher,Down,Distance,FootballZone,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRolePasser,MapRoleReceiver,MapRoleTackler2,FootballMainScoringPlay,FootballConvAttPts,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRolePassDefender,MapRoleSacker1,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,MapRoleQbHitter,FootballTimeoutTeamId,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,MapRoleInterceptor,FootballMiscScore_MiscScoreType,FootballMiscScore_TeamId,FootballMiscScore_PlayerId,FootballExtraYards_IndivOrTeam,FootballExtraYards_TeamId,FootballExtraYards_PlayerId,FootballExtraYards_Yards,MapRoleSacker2,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,21,1676751222.0,54822,2023-02-18 20:13:42.000000,EventFootballPass,2-10-ARL 22 (10:22) 12 L. Perez pass to 13 J. Badet to ARL 6 for 16 yards (4 J. Powell),,True,1,10,22,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,10,2302001-VGS-at-ARL,622,1522,3322,10:22,3,3,Home,22,1,7,,,,0.0,22,0,0,21251,,,StatusOfficial,ResultPassComplete,,,,,2.0,10.0,3,16.0,Visitor,31.0,9.0,63.0,4:54, ,21207,20072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,23,1676751263.0,54863,2023-02-18 20:14:23.000000,EventFootballPass,"1-6-ARL 6 (9:40) 12 L. Perez pass to 15 R. Smith to ARL 5 for 1 yard (42 O. Alaka, 28 J. Hawkins)",,True,1,9,40,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,11,2302001-VGS-at-ARL,580,1480,3280,9:40,3,3,Home,6,1,7,,,,0.0,6,0,0,20017,,,StatusOfficial,ResultPassComplete,,,,,1.0,6.0,3,1.0,Visitor,31.0,10.0,64.0,5:48, ,21207,21447,20654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,25,1676751298.0,54898,2023-02-18 20:14:58.000000,EventFootballRush,2-5-ARL 5 (9:06) 15 R. Smith rush to ARL 5 for 0 yards (72 T. Barnes),,True,1,9,6,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,12,2302001-VGS-at-ARL,546,1446,3246,9:06,3,3,Home,5,1,7,,,,0.0,5,0,0,20089,,,StatusOfficial,,,,,21447,2.0,5.0,2,0.0,Visitor,31.0,11.0,64.0,6:15, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,27,1676751346.0,54946,2023-02-18 20:15:46.000000,EventFootballPass,"3-5-ARL 5 (8:18) 12 L. Perez pass to 13 J. Badet for 5 yards, TOUCHDOWN",,True,1,8,18,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,13,2302001-VGS-at-ARL,498,1398,3198,8:18,3,3,Home,5,1,7,,,,0.0,5,0,0,,,,StatusOfficial,ResultPassComplete,,,,,3.0,5.0,2,5.0,Visitor,31.0,12.0,69.0,6:44,TD,21207,20072,,ScoreTypeTd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,29,1676751377.0,54977,2023-02-18 20:16:17.000000,EventFootballPat2PtPass,12 L. Perez 2-pt conversion pass to 10 M. Sexton NO GOOD,,True,1,8,16,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,14,2302001-VGS-at-ARL,496,1396,3196,8:16,3,3,Home,5,1,7,,,,0.0,5,6,0,,,,StatusOfficial,ResultPassIncomplete,,,,,,,3,,,,,,,,21207,21882,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,31,1676751482.0,55082,2023-02-18 20:18:02.000000,EventFootballKickoff,47 B. Giffen kicks from VGS 30. 12 A. Killins to ARL 26 for 16 yards (20 J. Johnson),,True,1,8,15,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,15,2302001-VGS-at-ARL,495,1395,3195,8:15,3,3,Visitor,30,2,1,,,,1.0,30,6,0,20811,47,21207,StatusOfficial,ResultKickReturned,16.0,Home,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,33,1676751524.0,55124,2023-02-18 20:18:44.000000,EventFootballRush,"1-10-ARL 26 (8:10) 2 D. Smith rush to ARL 30 for 4 yards (97 L. Stokes, 48 D. Calhoun)",,True,1,8,10,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,16,2302001-VGS-at-ARL,490,1390,3190,8:10,3,3,Home,26,2,1,,,,1.0,74,6,0,21966,,,StatusOfficial,,,,,22305,1.0,10.0,2,4.0,Home,26.0,1.0,4.0,0:24, ,,,21744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,35,1676751551.0,55151,2023-02-18 20:19:11.000000,EventFootballRush,2-6-ARL 30 (7:43) 2 D. Smith rush to ARL 38 for 8 yards (9 D. Anderson),,True,1,7,43,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,17,2302001-VGS-at-ARL,463,1363,3163,7:43,3,3,Home,30,2,1,,,,1.0,70,6,0,20039,,,StatusOfficial,,,,,22305,2.0,6.0,2,8.0,Home,26.0,2.0,12.0,0:53, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,37,1676751597.0,55197,2023-02-18 20:19:57.000000,EventFootballPenalty,"1-10-ARL 38 (7:04) PENALTY on 77 G. Moore, 5 yards",,True,1,7,4,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,18,2302001-VGS-at-ARL,424,1324,3124,7:04,3,3,Home,38,2,1,,,,1.0,62,6,0,,,,StatusOfficial,,,,,,1.0,10.0,,,Home,26.0,2.0,7.0,1:12, ,,,,,,1,21094,5.0,ResultPenaltyRepeatdown,NA,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,39,1676751627.0,55227,2023-02-18 20:20:27.000000,EventFootballPass,1-15-ARL 33 (6:44) 9 D. Plitt pass to 85 T. Vaughns to ARL 39 for 6 yards (6 K. Kennedy),,True,1,6,44,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,19,2302001-VGS-at-ARL,404,1304,3104,6:44,3,3,Home,33,2,1,,,,1.0,67,6,0,21943,,,StatusOfficial,ResultPassComplete,,,,,1.0,15.0,3,6.0,Home,26.0,3.0,13.0,1:54, ,21243,22363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,41,1676751665.0,55265,2023-02-18 20:21:05.000000,EventFootballRush,2-9-ARL 39 (6:06) 2 D. Smith rush to ARL 39 for 0 yards (90 J. Martin),,True,1,6,6,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,20,2302001-VGS-at-ARL,366,1266,3066,6:06,3,3,Home,39,2,1,,,,1.0,61,6,0,21948,,,StatusOfficial,,,,,22305,2.0,9.0,3,0.0,Home,26.0,4.0,13.0,2:30, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,43,1676751706.0,55306,2023-02-18 20:21:46.000000,EventFootballPass,3-9-ARL 39 (5:24) 9 D. Plitt pass to 85 T. Vaughns to VGS 46 for 15 yards (6 K. Kennedy),,True,1,5,24,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,21,2302001-VGS-at-ARL,324,1224,3024,5:24,3,3,Home,39,2,1,,,,1.0,61,6,0,21943,,,StatusOfficial,ResultPassComplete,,,,,3.0,9.0,3,15.0,Home,26.0,5.0,28.0,2:56, ,21243,22363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,45,1676751832.0,55432,2023-02-18 20:23:52.000000,EventFootballPass,1-10-VGS 46 (5:05) 9 D. Plitt pass to 19 B. Arconado to VGS 37 for 9 yards (22 A. Sparks),,True,1,5,5,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,22,2302001-VGS-at-ARL,305,1205,3005,5:05,3,3,Visitor,46,2,1,,,,1.0,46,6,0,21462,,,StatusOfficial,ResultPassComplete,,,,,1.0,10.0,1,9.0,Home,26.0,6.0,37.0,3:35, ,21243,20050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,47,1676751875.0,55475,2023-02-18 20:24:35.000000,EventFootballRush,2-1-VGS 37 (4:23) 23 K. Ford rush to VGS 40 for -3 yards (88 R. Windsor),,True,1,4,23,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,23,2302001-VGS-at-ARL,263,1163,2963,4:23,3,3,Visitor,37,2,1,,,,1.0,37,6,0,21975,,,StatusOfficial,,,,,20502,2.0,1.0,3,-3.0,Home,26.0,7.0,34.0,4:16, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,49,1676751913.0,55513,2023-02-18 20:25:13.000000,EventFootballPass,3-4-VGS 40 (3:44) 9 D. Plitt pass to 19 B. Arconado to VGS 23 for 17 yards (22 A. Sparks),,True,1,3,44,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,24,2302001-VGS-at-ARL,224,1124,2924,3:44,3,3,Visitor,40,2,1,,,,1.0,40,6,0,21462,,,StatusOfficial,ResultPassComplete,,,,,3.0,4.0,1,17.0,Home,26.0,8.0,51.0,4:53, ,21243,20050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,51,1676751955.0,55555,2023-02-18 20:25:55.000000,EventFootballRush,1-10-VGS 23 (3:07) 23 K. Ford rush to VGS 22 for 1 yard (48 D. Calhoun),,True,1,3,7,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,25,2302001-VGS-at-ARL,187,1087,2887,3:07,3,3,Visitor,23,2,1,,,,1.0,23,6,0,21744,,,StatusOfficial,,,,,20502,1.0,10.0,2,1.0,Home,26.0,9.0,52.0,5:32, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,53,1676751993.0,55593,2023-02-18 20:26:33.000000,EventFootballRush,2-9-VGS 22 (2:30) 2 D. Smith rush to VGS 19 for 3 yards (28 C. Avery),,True,1,2,30,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,26,2302001-VGS-at-ARL,150,1050,2850,2:30,3,3,Visitor,22,2,1,,,,1.0,22,6,0,20066,,,StatusOfficial,,,,,22305,2.0,9.0,1,3.0,Home,26.0,10.0,55.0,6:28, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,55,1676752038.0,55638,2023-02-18 20:27:18.000000,EventFootballPass,3-6-VGS 19 (1:48) 9 D. Plitt pass incomplete to 80 S. Cannella,,True,1,1,48,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,27,2302001-VGS-at-ARL,108,1008,2808,1:48,3,3,Visitor,19,2,1,,,,1.0,19,6,0,,,,StatusOfficial,ResultPassIncomplete,,,,,3.0,6.0,2,,Home,26.0,11.0,55.0,6:34, ,21243,22030,,,,,,,,,21739,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,57,1676752071.0,55671,2023-02-18 20:27:51.000000,EventFootballFg,4-6-VGS 19 (1:29) 1 T. Russolino 38 yard field goal is GOOD,,True,1,1,29,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,28,2302001-VGS-at-ARL,89,989,2789,1:29,3,3,Visitor,19,2,1,,,,1.0,19,6,0,,21359,,StatusOfficial,ResultKickMade,,,,,4.0,6.0,,38.0,Home,26.0,12.0,55.0,6:47,FG,,,,ScoreTypeFg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,1.0,1.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,59,1676752250.0,55850,2023-02-18 20:30:50.000000,EventFootballKickoff,1 T. Russolino kicks from ARL 30. 5 D. Torrey to VGS 26 for 19 yards (4 J. Powell),,True,1,1,29,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,29,2302001-VGS-at-ARL,89,989,2789,1:29,3,3,Home,30,3,7,,,,0.0,30,6,3,21251,21753,20693,StatusOfficial,ResultKickReturned,19.0,Visitor,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,80,1676752294.0,55894,2023-02-18 20:31:34.000000,EventFootballRush,1-10-VGS 26 (1:21) 8 J. Lovett rush to VGS 27 for 1 yard (5 W. Hill),,True,1,1,21,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,30,2302001-VGS-at-ARL,81,981,2781,1:21,3,3,Visitor,26,3,7,,,,0.0,74,6,3,20693,,,StatusOfficial,,,,,21872,1.0,10.0,2,1.0,Visitor,26.0,3.0,-15.0,2:16,PUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,81,1676752333.0,55933,2023-02-18 20:32:13.000000,EventFootballPass,2-9-VGS 27 (0:42) 12 L. Perez pass incomplete to 19 G. Allison,,True,1,0,42,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,31,2302001-VGS-at-ARL,42,942,2742,0:42,3,3,Visitor,27,3,7,,,,0.0,73,6,3,,,,StatusOfficial,ResultPassIncomplete,,,,,2.0,9.0,2,,Visitor,26.0,3.0,-15.0,2:16,PUNT,21207,22325,,,,,,,,,21913,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,82,1676752374.0,55974,2023-02-18 20:32:54.000000,EventFootballPenalty,"3-9-VGS 27 (0:10) PENALTY on 56 L. Williams, 5 yards",,True,1,0,10,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,32,2302001-VGS-at-ARL,10,910,2710,0:10,3,3,Visitor,27,3,7,,,,0.0,73,6,3,,,,StatusOfficial,,,,,,3.0,9.0,,,Visitor,26.0,3.0,-15.0,2:16,PUNT,,,,,,7,22847,5.0,ResultPenaltyRepeatdown,NA,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,70,1676752639.0,56239,2023-02-18 20:37:19.000000,EventFootballSack,3-14-VGS 22 (15:00) 12 L. Perez sacked at VGS 11 for -11 yards (36 C. Schooler),,True,2,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,33,2302001-VGS-at-ARL,900,900,2700,15:00,3,3,Visitor,22,3,7,,,,0.0,78,6,3,,,,StatusOfficial,,,,,,3.0,14.0,,-11.0,Visitor,26.0,3.0,-15.0,2:16,PUNT,21207,,,,,,,,,,,21379,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
