season,game_id,away_team_abv,away_team_id,home_team_abv,home_team_id,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,VisTimeouts,HomeTimeouts,BallOn_Side,BallOn_YardNum,DriveNum,pos_team_ID,PossTeamAbv,LastPlaySummary,LastPlayStatus,home_team_has_pos,yardline_100,VisScore,HomeScore,MapRoleRusher,MapRoleTackler1,Down,Distance,FootballStatus,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRoleKicker,MapRoleKickreturner,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePasser,MapRoleReceiver,FootballMainScoringPlay,FootballConvAttPts,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRolePassDefender,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,FootballTimeoutTeamId,MapRoleSacker1,MapRoleInterceptor,MapRoleQbHitter,MapRoleTackler2,MapRoleSacker2,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,23,1678065099.0,72699,2023-03-06 01:11:39.000000,EventFootballPass,2-4-SA 39 (11:51) 12 B. Silvers pass to 9 N. Holley to SA 31 for 8 yards (22 R. Texada),,True,1,11,51,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,10,2302012-SA-at-HOU,711,1611,3411,11:51,3,3,Visitor,39,2,2,,,,1.0,39,7,0,,22376,2.0,4.0,StatusOfficial,8.0,Visitor,45.0,2.0,14.0,0:54, ,,,ResultPassComplete,,,,21984,20707,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,25,1678065131.0,72731,2023-03-06 01:12:11.000000,EventFootballRush,1-10-SA 31 (11:25) 22 M. Borghi rush to SA 31 for 0 yards (15 J. Williams),,True,1,11,25,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,11,2302012-SA-at-HOU,685,1585,3385,11:25,3,3,Visitor,31,2,2,,,,1.0,31,7,0,20149,21974,1.0,10.0,StatusOfficial,0.0,Visitor,45.0,3.0,14.0,1:14, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,27,1678065162.0,72762,2023-03-06 01:12:42.000000,EventFootballPass,2-10-SA 31 (10:53) 12 B. Silvers pass to 13 J. Kirklin to SA 24 for 7 yards (8 K. Kelly),,True,1,10,53,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,12,2302012-SA-at-HOU,653,1553,3353,10:53,3,3,Visitor,31,2,2,,,,1.0,31,7,0,,22884,2.0,10.0,StatusOfficial,7.0,Visitor,45.0,4.0,21.0,1:51, ,,,ResultPassComplete,,,,21984,20896,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,29,1678065203.0,72803,2023-03-06 01:13:23.000000,EventFootballPass,3-3-SA 24 (10:13) 12 B. Silvers pass incomplete to 9 N. Holley,,True,1,10,13,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,13,2302012-SA-at-HOU,613,1513,3313,10:13,3,3,Visitor,24,2,2,,,,1.0,24,7,0,,,3.0,3.0,StatusOfficial,,Visitor,45.0,5.0,21.0,2:16, ,,,ResultPassIncomplete,,,,21984,20707,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,53,1678065246.0,72846,2023-03-06 01:14:06.000000,EventFootballPass,4-3-SA 24 (9:45) 12 B. Silvers pass to 13 J. Kirklin to SA 20 for 4 yards (15 J. Williams),,True,1,9,45,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,14,2302012-SA-at-HOU,585,1485,3285,9:45,3,3,Visitor,24,2,2,,,,1.0,24,7,0,,21974,4.0,3.0,StatusOfficial,4.0,Visitor,45.0,6.0,25.0,2:53, ,,,ResultPassComplete,,,,21984,20896,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,33,1678065282.0,72882,2023-03-06 01:14:42.000000,EventFootballRush,1-10-SA 20 (9:09) 22 M. Borghi rush to SA 7 for 13 yards (22 R. Texada),,True,1,9,9,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,15,2302012-SA-at-HOU,549,1449,3249,9:09,3,3,Visitor,20,2,2,,,,1.0,20,7,0,20149,22376,1.0,10.0,StatusOfficial,13.0,Visitor,45.0,7.0,38.0,3:29, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,35,1678065323.0,72923,2023-03-06 01:15:23.000000,EventFootballPass,"1-7-SA 7 (8:30) 12 B. Silvers pass to 13 J. Kirklin for 7 yards, TOUCHDOWN",,True,1,8,30,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,16,2302012-SA-at-HOU,510,1410,3210,8:30,3,3,Visitor,7,2,2,,,,1.0,7,7,0,,,1.0,7.0,StatusOfficial,7.0,Visitor,45.0,8.0,45.0,3:59,TD,,,ResultPassComplete,,,,21984,20896,ScoreTypeTd,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,37,1678065345.0,72945,2023-03-06 01:15:45.000000,EventFootballPat2PtPass,12 B. Silvers 2-pt conversion pass to 13 J. Kirklin GOOD,,True,1,8,30,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,17,2302012-SA-at-HOU,510,1410,3210,8:30,3,3,Visitor,5,2,2,,,,1.0,5,7,6,,,,,StatusOfficial,5.0,,,,,,,,,ResultPassComplete,,,,21984,20896,ScoreTypeConv,2.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,40,1678065601.0,73201,2023-03-06 01:20:01.000000,EventFootballKickoff,"8 H. Duplessis kicks from HOU 30. 10 T. Jonsen to SA 15 for 31 yards (45 J. Daka) PENALTY on 45 D. Scott, 10 yards",,True,1,8,29,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,18,2302012-SA-at-HOU,509,1409,3209,8:29,3,3,Home,30,3,3,,,,0.0,30,7,8,,20350,,,StatusOfficial,,,,,,,,22884,21441,ResultKickReturned,31.0,Visitor,15.0,,,,,3,22844,10.0,ResultPenaltyOnkickoffpat,NA,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,42,1678065667.0,73267,2023-03-06 01:21:07.000000,EventFootballPass,1-10-SA 15 (8:17) 16 J. Coan pass to 11 K. Ballage to SA 23 for 8 yards (11 T. Beckett),,True,1,8,17,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,19,2302012-SA-at-HOU,497,1397,3197,8:17,3,3,Visitor,15,3,3,,,,0.0,85,7,8,,20107,1.0,10.0,StatusOfficial,8.0,Visitor,15.0,1.0,8.0,0:27, ,,,ResultPassComplete,,,,20301,22034,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,44,1678065704.0,73304,2023-03-06 01:21:44.000000,EventFootballRush,2-2-SA 23 (7:44) 11 K. Ballage rush to SA 23 for 0 yards (98 C. Brewer),,True,1,7,44,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,20,2302012-SA-at-HOU,464,1364,3164,7:44,3,3,Visitor,23,3,3,,,,0.0,77,7,8,22034,21989,2.0,2.0,StatusOfficial,0.0,Visitor,15.0,2.0,8.0,0:58, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,47,1678065744.0,73344,2023-03-06 01:22:24.000000,EventFootballPass,3-2-SA 23 (7:05) 16 J. Coan pass incomplete to 11 K. Ballage,,True,1,7,5,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,21,2302012-SA-at-HOU,425,1325,3125,7:05,3,3,Visitor,23,3,3,,,,0.0,77,7,8,,,3.0,2.0,StatusOfficial,,Visitor,15.0,3.0,8.0,1:39, ,,,ResultPassIncomplete,,,,20301,22034,,,,,,,,21004,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,49,1678065789.0,73389,2023-03-06 01:23:09.000000,EventFootballPenalty,"4-2-SA 23 (6:41) PENALTY on San Antonio Brahmas, 5 yards",,True,1,6,41,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,22,2302012-SA-at-HOU,401,1301,3101,6:41,3,3,Visitor,23,3,3,,,,0.0,77,7,8,,,4.0,2.0,StatusOfficial,,Visitor,15.0,3.0,3.0,1:49, ,,,,,,,,,,,3,TM,5.0,ResultPenaltyRepeatdown,NA,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,52,1678065825.0,73425,2023-03-06 01:23:45.000000,EventFootballPunt,4-7-SA 18 (6:21) 0 B. Wing punts 54 yards from SA 18 to HOU 28. 4 W. Likely to HOU 29 for 1 yards (47 R. Sunahara),,True,1,6,21,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,23,2302012-SA-at-HOU,381,1281,3081,6:21,3,3,Visitor,18,3,3,,,,0.0,82,7,8,,21820,4.0,7.0,StatusOfficial,,Visitor,15.0,3.0,3.0,2:09,PUNT,,,ResultKickReturned,,Home,29.0,,,,,,,,,,,21706,22601,54.0,1.0,,,,,,,1,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,55,1678066043.0,73643,2023-03-06 01:27:23.000000,EventFootballPass,1-10-HOU 29 (6:14) 12 B. Silvers pass to 80 B. Putman to HOU 28 for -1 yards (22 R. Texada),,True,1,6,14,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,24,2302012-SA-at-HOU,374,1274,3074,6:14,3,3,Home,29,4,2,,,,1.0,71,7,8,,22376,1.0,10.0,StatusOfficial,-1.0,Home,29.0,1.0,-1.0,0:26, ,,,ResultPassComplete,,,,21984,21266,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,57,1678066078.0,73678,2023-03-06 01:27:58.000000,EventFootballPass,2-11-HOU 28 (5:39) 12 B. Silvers pass incomplete to 9 N. Holley,,True,1,5,39,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,25,2302012-SA-at-HOU,339,1239,3039,5:39,3,3,Home,28,4,2,,,,1.0,72,7,8,,,2.0,11.0,StatusOfficial,,Home,29.0,2.0,-1.0,0:39, ,,,ResultPassIncomplete,,,,21984,20707,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,59,1678066108.0,73708,2023-03-06 01:28:28.000000,EventFootballPass,3-11-HOU 28 (5:22) 12 B. Silvers pass to 13 J. Kirklin to SA 43 for 29 yards (2 T. Bonds),,True,1,5,22,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,26,2302012-SA-at-HOU,322,1222,3022,5:22,3,3,Home,28,4,2,,,,1.0,72,7,8,,20142,3.0,11.0,StatusOfficial,29.0,Home,29.0,3.0,28.0,1:05, ,,,ResultPassComplete,,,,21984,20896,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,61,1678066157.0,73757,2023-03-06 01:29:17.000000,EventFootballRush,1-10-SA 43 (4:55) 26 B. Alleyne rush to SA 33 for 10 yards (5 T. Adewusi),,True,1,4,55,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,27,2302012-SA-at-HOU,295,1195,2995,4:55,3,3,Visitor,43,4,2,,,,1.0,43,7,8,20033,20008,1.0,10.0,StatusOfficial,10.0,Home,29.0,4.0,38.0,1:36, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,63,1678066193.0,73793,2023-03-06 01:29:53.000000,EventFootballPass,1-10-SA 33 (4:20) 12 B. Silvers pass incomplete to 13 J. Kirklin,,True,1,4,20,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,28,2302012-SA-at-HOU,260,1160,2960,4:20,3,3,Visitor,33,4,2,,,,1.0,33,7,8,,,1.0,10.0,StatusOfficial,,Home,29.0,5.0,38.0,1:58, ,,,ResultPassIncomplete,,,,21984,20896,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,65,1678066237.0,73837,2023-03-06 01:30:37.000000,EventFootballPass,2-10-SA 33 (3:44) 12 B. Silvers pass incomplete to 1 D. Burnett,,True,1,3,44,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,29,2302012-SA-at-HOU,224,1124,2924,3:44,3,3,Visitor,33,4,2,,,,1.0,33,7,8,,,2.0,10.0,StatusOfficial,,Home,29.0,6.0,38.0,2:34, ,,,ResultPassIncomplete,,,,21984,20229,,,,,,,,20087,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,67,1678066278.0,73878,2023-03-06 01:31:18.000000,EventFootballTimeout,Timeout by Houston Roughnecks at 3:21,,True,1,3,21,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,30,2302012-SA-at-HOU,201,1101,2901,3:21,3,3,Visitor,33,4,2,,,,1.0,33,7,8,,,3.0,10.0,StatusOfficial,,Home,29.0,6.0,38.0,2:57, ,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,69,1678066351.0,73951,2023-03-06 01:32:31.000000,EventFootballSack,3-10-SA 33 (3:16) 12 B. Silvers sacked at SA 39 for -6 yards (42 M. Tverdov),,True,1,3,16,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,31,2302012-SA-at-HOU,196,1096,2896,3:16,3,2,Visitor,33,4,2,,,,1.0,33,7,8,,,3.0,10.0,StatusOfficial,-6.0,Home,29.0,7.0,32.0,3:22, ,,,,,,,21984,,,,,,,,,,,,,,,21589,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,71,1678066395.0,73995,2023-03-06 01:33:15.000000,EventFootballPunt,"4-16-SA 39 (2:32) 46 R. Porter punts 29 yards, downed at SA 10",,True,1,2,32,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,32,2302012-SA-at-HOU,152,1052,2852,2:32,3,2,Visitor,39,4,2,,,,1.0,39,7,8,,,4.0,16.0,StatusOfficial,,Home,29.0,7.0,32.0,3:49,PUNT,,,ResultKickDowned,,Visitor,10.0,,,,,,,,,,,21248,,29.0,,,,,,,,1,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,73,1678066445.0,74045,2023-03-06 01:34:05.000000,EventFootballRush,1-10-SA 10 (2:29) 9 J. Patrick rush to SA 25 for 15 yards (17 D. Johnson),,True,1,2,29,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,33,2302012-SA-at-HOU,149,1049,2849,2:29,3,2,Visitor,10,5,3,,,,0.0,90,7,8,21196,20801,1.0,10.0,StatusOfficial,15.0,Visitor,10.0,1.0,15.0,0:11, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,93,1678066486.0,74086,2023-03-06 01:34:46.000000,EventFootballRush,1-10-SA 25 (1:55) 9 J. Patrick rush to SA 31 for 6 yards (17 D. Johnson),,True,1,1,55,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,34,2302012-SA-at-HOU,115,1015,2815,1:55,3,2,Visitor,25,5,3,,,,0.0,75,7,8,21196,20801,1.0,10.0,StatusOfficial,6.0,Visitor,10.0,2.0,21.0,0:45, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,77,1678066518.0,74118,2023-03-06 01:35:18.000000,EventFootballRush,2-4-SA 31 (1:23) 9 J. Patrick rush to SA 34 for 3 yards (52 E. Ellerbee),,True,1,1,23,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,35,2302012-SA-at-HOU,83,983,2783,1:23,3,2,Visitor,31,5,3,,,,0.0,69,7,8,21196,21857,2.0,4.0,StatusOfficial,3.0,Visitor,10.0,3.0,24.0,1:22, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,79,1678066554.0,74154,2023-03-06 01:35:54.000000,EventFootballRush,3-1-SA 34 (0:47) 16 J. Coan rush to SA 34 for 0 yards (17 D. Johnson),,True,1,0,47,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,36,2302012-SA-at-HOU,47,947,2747,0:47,3,2,Visitor,34,5,3,,,,0.0,66,7,8,20301,20801,3.0,1.0,StatusOfficial,0.0,Visitor,10.0,4.0,24.0,1:58, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
