season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,MapRoleTackler1,MapRoleTackler2,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRoleRusher,down,ydstogo,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRolePasser,MapRoleReceiver,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,FootballMainScoringPlay,FootballConvAttPts,MapRolePunter,MapRolePuntreturner,FootballPuntYards,MapRoleSacker1,MapRoleSacker2,MapRolePassDefender,FootballTimeoutTeamId,FootballPuntRetYards,MapRoleQbHitter,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,MapRoleInterceptor,FootballMiscScore_MiscScoreType,FootballMiscScore_TeamId,FootballMiscScore_PlayerId,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,22,1681600523.0,65723,2023-04-15 19:15:23.000000,EventFootballKickoff,"FROM ORL 30 (11:34) 0 J. Borregales kicks from ORL 30. 6 F. Brown to SA 29 for 25 yards (40 E. Thompson, 31 L. Henry)",,True,1,11,34,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,10,2302034-ORL-at-SA,694,1594,3394,11:34,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Visitor,30,2,30.0,0,8,0,21550,21941,21741,20203,StatusOfficial,ResultKickReturned,25.0,Home,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,24,1681600601.0,65801,2023-04-15 19:16:41.000000,EventFootballRush,"1-10-SA 29 (11:25) 9 J. Patrick rush to SA 32 for 3 yards (88 C. Patton, 99 T. Sanders)",,True,1,11,25,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,11,2302034-ORL-at-SA,685,1585,3385,11:25,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Home,29,2,71.0,0,8,0,22001,21365,,,StatusOfficial,,,,,21196,1.0,10.0,3.0,Home,29.0,1.0,3.0,0:25, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,26,1681600638.0,65838,2023-04-15 19:17:18.000000,EventFootballPass,2-7-SA 32 (10:48) 16 J. Coan pass to 13 N. Holley to SA 45 for 13 yards (23 N. Hosein),,True,1,10,48,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,12,2302034-ORL-at-SA,648,1548,3348,10:48,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Home,32,2,68.0,0,8,0,20723,,,,StatusOfficial,ResultPassComplete,,,,,2.0,7.0,13.0,Home,29.0,2.0,16.0,1:01, ,20301,20707,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,28,1681600662.0,65862,2023-04-15 19:17:42.000000,EventFootballRush,1-10-SA 45 (10:24) 9 J. Patrick rush to SA 47 for 2 yards (44 T. Plummer),,True,1,10,24,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,13,2302034-ORL-at-SA,624,1524,3324,10:24,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Home,45,2,55.0,0,8,0,21244,,,,StatusOfficial,,,,,21196,1.0,10.0,2.0,Home,29.0,3.0,18.0,1:24, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,30,1681600724.0,65924,2023-04-15 19:18:44.000000,EventFootballPenalty,"2-8-SA 47 (9:35) PENALTY on (SA) 62 D. Wallace, 10 yards",,True,1,9,35,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,14,2302034-ORL-at-SA,575,1475,3275,9:35,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Home,47,2,53.0,0,8,0,,,,,StatusOfficial,,,,,,2.0,8.0,,Home,29.0,3.0,8.0,1:59, ,,,3,21621,10.0,ResultPenaltyRepeatdown,NA,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,32,1681600769.0,65969,2023-04-15 19:19:29.000000,EventFootballPass,2-18-SA 37 (9:10) 16 J. Coan pass to 88 A. Mack to SA 43 for 6 yards (40 E. Thompson),,True,1,9,10,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,15,2302034-ORL-at-SA,550,1450,3250,9:10,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Home,37,2,63.0,0,8,0,21550,,,,StatusOfficial,ResultPassComplete,,,,,2.0,18.0,6.0,Home,29.0,4.0,14.0,2:41, ,20301,21765,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,34,1681600811.0,66011,2023-04-15 19:20:11.000000,EventFootballPass,"3-12-SA 43 (8:27) 16 J. Coan pass to 31 J. Hilliman to ORL 48 for 9 yards (46 T. Scales, 81 J. Thomas)",,True,1,8,27,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,16,2302034-ORL-at-SA,507,1407,3207,8:27,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Home,43,2,57.0,0,8,0,22319,21546,,,StatusOfficial,ResultPassComplete,,,,,3.0,12.0,9.0,Home,29.0,5.0,23.0,3:26, ,20301,20697,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,36,1681600849.0,66049,2023-04-15 19:20:49.000000,EventFootballPunt,"4-3-ORL 48 (7:50) 0 B. Wing punts 35 yards from ORL 48 to 32 J. Rogers, Fair Catch at ORL 13",,True,1,7,50,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,17,2302034-ORL-at-SA,470,1370,3170,7:50,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Visitor,48,2,48.0,0,8,0,,,,,StatusOfficial,ResultKickFaircatch,,Visitor,13.0,,4.0,3.0,,Home,29.0,5.0,23.0,3:44,PUNT,,,,,,,,,,21706,21333,35.0,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,38,1681600899.0,66099,2023-04-15 19:21:39.000000,EventFootballRush,1-10-ORL 13 (7:42) 12 Q. Dormady rush to ORL 10 for -3 yards (3 B. Davis),,True,1,7,42,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,18,2302034-ORL-at-SA,462,1362,3162,7:42,4,,,0.0,ORL,SA,0.0,3,2,3.0,3.0,Visitor,13,3,87.0,0,8,0,20362,,,,StatusOfficial,,,,,20407,1.0,10.0,-3.0,Visitor,13.0,1.0,-3.0,0:18, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,40,1681600934.0,66134,2023-04-15 19:22:14.000000,EventFootballPass,"2-13-ORL 10 (7:07) 12 Q. Dormady pass to 26 D. Darrington to ORL 11 for 1 yard (21 S. Williams, 91 J. Edwards)",,True,1,7,7,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,19,2302034-ORL-at-SA,427,1327,3127,7:07,4,,,0.0,ORL,SA,0.0,3,2,3.0,3.0,Visitor,10,3,90.0,0,8,0,22819,20440,,,StatusOfficial,ResultPassComplete,,,,,2.0,13.0,1.0,Visitor,13.0,2.0,-2.0,0:59, ,20407,20357,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,45,1681601014.0,66214,2023-04-15 19:23:34.000000,EventFootballSack,"3-12-ORL 11 (6:23) 12 Q. Dormady sacked at ORL 5 for -6 yards (33 D. Beesley, 55 D. Downey)",,True,1,6,23,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,20,2302034-ORL-at-SA,383,1283,3083,6:23,4,,,0.0,ORL,SA,0.0,3,2,3.0,3.0,Visitor,11,3,89.0,0,8,0,,,,,StatusOfficial,,,,,,3.0,12.0,-6.0,Visitor,13.0,3.0,-8.0,1:42, ,20407,,,,,,,,,,,,21740,20410,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,44,1681601057.0,66257,2023-04-15 19:24:17.000000,EventFootballPunt,"4-18-ORL 5 (5:39) 19 M. Brown punts 60 yards, downed at SA 35",,True,1,5,39,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,21,2302034-ORL-at-SA,339,1239,3039,5:39,4,,,0.0,ORL,SA,0.0,3,2,3.0,3.0,Visitor,5,3,95.0,0,8,0,,,,,StatusOfficial,ResultKickDowned,,Home,35.0,,4.0,18.0,,Visitor,13.0,3.0,-8.0,2:11,PUNT,,,,,,,,,,20208,,60.0,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,47,1681601289.0,66489,2023-04-15 19:28:09.000000,EventFootballRush,"1-10-SA 35 (5:37) 9 J. Patrick rush to ORL 48 for 17 yards (20 B. Buchanan, 27 T. Smith)",,True,1,5,37,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,22,2302034-ORL-at-SA,337,1237,3037,5:37,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Home,35,4,65.0,0,8,0,20221,21825,,,StatusOfficial,,,,,21196,1.0,10.0,17.0,Home,35.0,1.0,17.0,0:13, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,49,1681601522.0,66722,2023-04-15 19:32:02.000000,EventFootballPass,"1-10-ORL 48 (5:03) 16 J. Coan pass to 82 L. Akers to ORL 45 for 3 yards (20 B. Buchanan, 44 T. Plummer)",,True,1,5,3,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,23,2302034-ORL-at-SA,303,1203,3003,5:03,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Visitor,48,4,48.0,0,8,0,20221,21244,,,StatusOfficial,ResultPassComplete,,,,,1.0,10.0,3.0,Home,35.0,2.0,20.0,0:56, ,20301,20016,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,51,1681601553.0,66753,2023-04-15 19:32:33.000000,EventFootballRush,"2-7-ORL 45 (4:32) 9 J. Patrick rush to ORL 40 for 5 yards (36 J. Jones, 88 C. Patton)",,True,1,4,32,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,24,2302034-ORL-at-SA,272,1172,2972,4:32,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Visitor,45,4,45.0,0,8,0,20841,22001,,,StatusOfficial,,,,,21196,2.0,7.0,5.0,Home,35.0,3.0,25.0,1:19, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,53,1681601595.0,66795,2023-04-15 19:33:15.000000,EventFootballPass,3-2-ORL 40 (3:56) 16 J. Coan pass dropped by 84 D. Yelder,,True,1,3,56,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,25,2302034-ORL-at-SA,236,1136,2936,3:56,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Visitor,40,4,40.0,0,8,0,,,,,StatusOfficial,ResultPassDropped,,,,,3.0,2.0,,Home,35.0,4.0,25.0,1:46, ,20301,22022,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,55,1681601625.0,66825,2023-04-15 19:33:45.000000,EventFootballRush,"4-2-ORL 40 (3:31) 9 J. Patrick rush to ORL 37 for 3 yards (1 C. Holmes, 44 T. Plummer)",,True,1,3,31,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,26,2302034-ORL-at-SA,211,1111,2911,3:31,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Visitor,40,4,40.0,0,8,0,20713,21244,,,StatusOfficial,,,,,21196,4.0,2.0,3.0,Home,35.0,5.0,28.0,2:17, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,57,1681601658.0,66858,2023-04-15 19:34:18.000000,EventFootballPass,"1-10-ORL 37 (2:59) 16 J. Coan pass to 31 J. Hilliman to ORL 38 for -1 yards (20 B. Buchanan, 36 J. Jones)",,True,1,2,59,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,27,2302034-ORL-at-SA,179,1079,2879,2:59,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Visitor,37,4,37.0,0,8,0,20221,20841,,,StatusOfficial,ResultPassComplete,,,,,1.0,10.0,-1.0,Home,35.0,6.0,27.0,2:58, ,20301,20697,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,59,1681601694.0,66894,2023-04-15 19:34:54.000000,EventFootballPass,2-11-ORL 38 (2:23) 16 J. Coan pass to 31 J. Hilliman to ORL 35 for 3 yards (9 G. Willis),,True,1,2,23,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,28,2302034-ORL-at-SA,143,1043,2843,2:23,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Visitor,38,4,38.0,0,8,0,21696,,,,StatusOfficial,ResultPassComplete,,,,,2.0,11.0,3.0,Home,35.0,7.0,30.0,3:27, ,20301,20697,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,61,1681601734.0,66934,2023-04-15 19:35:34.000000,EventFootballPass,3-8-ORL 35 (1:42) 16 J. Coan pass to 82 L. Akers to ORL 27 for 8 yards (22 M. Elam),,True,1,1,42,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,29,2302034-ORL-at-SA,102,1002,2802,1:42,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Visitor,35,4,35.0,0,8,0,20444,,,,StatusOfficial,ResultPassComplete,,,,,3.0,8.0,8.0,Home,35.0,8.0,38.0,4:27, ,20301,20016,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,63,1681601797.0,66997,2023-04-15 19:36:37.000000,EventFootballRush,"1-10-ORL 27 (0:51) 9 J. Patrick rush to ORL 24 for 3 yards (46 T. Scales, 38 M. Murphy)",,True,1,0,51,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,30,2302034-ORL-at-SA,51,951,2751,0:51,3,,,1.0,SA,ORL,0.0,3,2,2.0,2.0,Visitor,27,4,27.0,0,8,0,22319,21121,,,StatusOfficial,,,,,21196,1.0,10.0,3.0,Home,35.0,9.0,41.0,4:59, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
