Season,OfficialID,VisOrHome,JerseyNum,FirstName,LastName,LastNameSuffix,Position,PositionLongName,NAbbrev,Height,Weight,DOB,POB,Age,Hometown,Country,CountryCode,Nickname,InjuryStatus,InjuryDesc,GfxId,Headshot,IsStarting,Initials,Scratch,TrackingId,TeamId,Affiliate,CloudHeadshotURL,SquadId,College,LeagueStatus,Participated
2023,22718,Home,79,Teton,Saltes,,OL,,T. Saltes,"6'5""",305,,,,,,,,,,79,,,,,,1,,,,,,True
2023,22030,Home,80,Sal,Cannella,,TE,,S. Cannella,"6'4""",236,12/2/1996,,26,,,,,,,80,,True,,,,1,,,,,,True
2023,22326,Home,81,Nate,Becker,,TE,,N. Becker,"6'4""",258,3/24/1996,,26,,,,,,,81,,True,,,,1,,,,,,True
2023,22363,Home,85,Tyler,Vaughns,,WR,,T. Vaughns,"6'2""",184,6/1/1997,,25,,,,,,,85,,True,,,,1,,,,,,True
2023,20123,Home,88,Shaun,Beyer,,TE,,S. Beyer,"6'4""",250,11/11/1996,,26,,,,,,,88,,True,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Shaun_Beyer_20123.png,,,,True
2023,22010,Home,90,Bruce,Hector,,DL,,B. Hector,"6'2""",299,10/7/1994,,28,,,,,,,90,,True,,,,1,,,,,,True
2023,21968,Visitor,0,Pita,Taumoepenu,,LB,,P. Taumoepenu,"6'1""",243,3/9/1994,,28,,,,,,,,,True,,,,7,,,,,,True
2023,21753,Visitor,1,Mister,Harriel,,DB,,M. Harriel,"6'0""",191,2/15/1997,,26,,,,,,,1,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Mister_Harriel_21753.png,,,,True
2023,22876,Visitor,2,Brett,Hundley,,QB,,B. Hundley,"6'3""",226,,,,,,,,,,2,,,,,,7,,,,,,
2023,21022,Visitor,3,Jalan,McClendon,,QB,,J. McClendon,"6'4""",212,,,,,,,,,,3,,,,True,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jalan_Mcclendon_21022.png,,,,
2023,20218,Visitor,4,Martavis,Bryant,,WR,,M. Bryant,"6'3""",211,12/20/1991,,31,,,,,,,4,,True,,,,7,,,,,,True
2023,21570,Visitor,5,DeAndre,Torrey,,RB,,D. Torrey,"5'7""",201,,,,,,,,,,5,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deandre_Torrey_21570.png,,,,True
2023,21943,Visitor,6,Keylon,Kennedy,,DB,,K. Kennedy,"5'11""",185,,,,,,,,,,6,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Keylon_Kennedy_21943.png,,,,True
2023,21872,Visitor,8,John,Lovett,,RB,,J. Lovett,"5'11""",215,,,,,,,,,,8,,,,,,7,,,,,,True
2023,20039,Visitor,9,Deontay,Anderson,,DB,,D. Anderson,"6'1""",218,,,,,,,,,,9,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deontay_Anderson_20039.png,,,,True
2023,21882,Visitor,10,Mathew,Sexton,,WR,,M. Sexton,"5'9""",175,,,,,,,,,,10,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Mathew_Sexton_21882.png,,,,True
2023,20374,Visitor,11,P.J.,Dawson,,LB,,P. Dawson,"6'0""",235,1/13/1993,,30,,,,,,,11,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Paul_Dawson_20374.png,,,,True
2023,21207,Visitor,12,Luis,Perez,,QB,,L. Perez,"6'2""",226,8/26/1994,,28,,,,,,,12,,True,,,,7,,,,,,True
2023,20072,Visitor,13,Jeff,Badet,,WR,,J. Badet,"5'11""",183,8/2/1994,,28,,,,,,,13,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jeff_Badet_20072.png,,,,True
2023,21507,Visitor,14,Cinque,Sweeting,,WR,,C. Sweeting,"5'9""",193,,,,,,,,,,14,,,,,,7,,,,,,True
2023,21447,Visitor,15,Rod,Smith,,RB,,R. Smith,"6'2""",231,1/10/1992,,31,,,,,,,15,,True,,,,7,,,,,,True
2023,20903,Visitor,16,Travis,Koontz,,TE,,T. Koontz,"6'3""",253,,,,,,,,,,16,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Travis_Koontz_20903.png,,,,True
2023,21784,Visitor,17,Michael,Carrizosa,,ST,,M. Carrizosa,"5'9""",225,9/18/1995,,27,,,,,,,17,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Michael_Carrizosa_21784.png,,,,True
2023,20232,Visitor,18,Brian,Burt,,RB,,B. Burt,"6'0""",186,,,,,,,,,,18,,,,True,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brian_Burt_20232.png,,,,
2023,22325,Visitor,19,Geronimo,Allison,,WR,,G. Allison,"6'3""",197,1/18/1994,,29,,,,,,,19,,True,,,,7,,,,,,True
2023,20811,Visitor,20,Jawuan,Johnson,,LB,,J. Johnson,"5'10""",223,6/13/1996,,26,,,,,,,20,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jawuan_Johnson_20811.png,,,,True
2023,21223,Visitor,21,Antonio,Phillips,,DB,,A. Phillips,"5'11""",193,12/9/1998,,24,,,,,,,21,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Antonio_Phillips_21223.png,,,,True
2023,21462,Visitor,22,Adam,Sparks,,DB,,A. Sparks,"5'10""",169,,,,,,,,,,22,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Adam_Sparks_21462.png,,,,True
2023,21960,Visitor,23,Maximilian,Roberts,,DL,,M. Roberts,"6'1""",256,,,,,,,,,,23,,,,,,7,,,,,,True
2023,20007,Visitor,24,Will,Adams,,DB,,W. Adams,"6'1""",187,3/13/1998,,24,,,,,,,24,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Will_Adams_20007.png,,,,True
2023,20461,Visitor,25,Marwin,Evans,,DB,,M. Evans,"5'11""",211,4/10/1993,,29,,,,,,,25,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Marwin_Evans_20461.png,,,,True
2023,20690,Visitor,27,Nijuel,Hill,,DB,,N. Hill,"5'8""",182,10/29/1997,,25,,,,,,,27,,,,,,7,,,,,,True
2023,20066,Visitor,28,C.J.,Avery,,LB,,C. Avery,"5'11""",230,,,,,,,,,,28,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/CJ_Avery_20066.png,,,,True
2023,21312,Visitor,30,Stephen,Roberts,,DB,,S. Roberts,"5'11""",183,,,,,,,,,,30,,,,True,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Stephen_Roberts_21312.png,,,,
2023,21794,Visitor,40,Adam,Higuera,,ST,,A. Higuera,"6'0""",237,,,,,,,,,,40,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Adam_Higuera_21794.png,,,,True
2023,21739,Visitor,44,Vic,Beasley,,LB,,V. Beasley,"6'3""",246,7/8/1992,,30,,,,,,,44,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Vic_Beasley_21739.png,,,,True
2023,22885,Visitor,45,Martrell,Spaight,,LB,,M. Spaight,"6'0""",238,,,,,,,,,,45,,,,,,7,,,,,,True
2023,20076,Visitor,47,Bailey,Giffen,,ST,,B. Giffen,5100,189,,,,,,,,,,47,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Giffen_Bailey_20076.png,,,,True
2023,21744,Visitor,48,D.J.,Calhoun,,LB,,D. Calhoun,"5'11""",244,,,,,,,,,,48,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/DJ_Calhoun_21744.png,,,,True
2023,20537,Visitor,53,Antonio,Garcia,,OL,,A. Garcia,"6'6""",302,12/10/1993,,29,,,,,,,53,,,,True,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Antonio_Garcia_20537.png,,,,
2023,22847,Visitor,56,Larry,Williams,,OL,,L. Williams,"6'4""",308,,,,,,,,,,56,,True,,,,7,,,,,,True
2023,21651,Visitor,61,Dohnovan,West,,OL,,D. West,"6'3""",309,,,,,,,,,,61,,,,,,7,,,,,,
2023,21075,Visitor,64,Michael,Miller,,OL,,M. Miller,"6'3""",305,,,,,,,,,,64,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Michael_Miller_21075.png,,,,True
2023,21911,Visitor,65,Jamil,Demby,,OL,,J. Demby,"6'4""",319,6/20/1996,,26,,,,,,,65,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jamil_Demby_21911.png,,,,
2023,22858,Visitor,69,Kahlil,McKenzie,,OL,,K. McKenzie,"6'3""",345,,,,,,,,,,69,,True,,,,7,,,,,,True
2023,21674,Visitor,71,Isaiah,Williams,,OL,,I. Williams,"6'3""",307,5/5/1993,,29,,,,,,,71,,True,,,,7,,,,,,True
2023,20947,Visitor,75,Jovann,Letuli,,OL,,J. Letuli,"6'3""",341,8/18/1996,,26,,,,,,,75,,,,True,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jovann_Letuli_20947.png,,,,
2023,20434,Visitor,77,Quinterrius,Eatmon,,OL,,Q. Eatmon,"6'6""",293,12/4/1991,,31,,,,,,,77,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Quinterrius_Eatmon_20434.png,,,,True
2023,21259,Visitor,80,Sean,Price,,TE,,S. Price,"6'2""",249,,,,,,,,,,80,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Sean_Price_21259.png,,,,True
2023,20392,Visitor,86,Brandon,Dillon,,TE,,B. Dillon,"6'3""",247,4/30/1997,,25,,,,,,,86,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brandon_Dillon_20392.png,,,,True
2023,21975,Visitor,88,Robert,Windsor,,DL,,R. Windsor,"6'4""",290,1/15/1997,,26,,,,,,,88,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Robert_Windsor_21975.png,,,,True
2023,21502,Visitor,89,Cam,Sutton,,TE,,C. Sutton,"6'4""",229,,,,,,,,,,89,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Cam_Sutton_21502.png,,,,True
2023,21948,Visitor,90,Jah'Sheem,Martin,,DL,,J. Martin,"6'2""",323,,,,,,,,,,90,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jahsheem_Martin_21948.png,,,,True
2023,20832,Visitor,95,Bryant,Jones,,DL,,B. Jones,"6'1""",304,4/15/1997,,25,,,,,,,95,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Bryant_Jones_20832.png,,,,True
2023,21238,Visitor,96,Kelvin,Pinkney,,DL,,K. Pinkney,"6'1""",320,,,,,,,,,,96,,,,,,7,,,,,,True
2023,21966,Visitor,97,LaRon,Stokes,,DL,,L. Stokes,"6'3""",278,,,,,,,,,,97,,True,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Laron_Stokes_21966.png,,,,True
2023,22785,Visitor,99,Destiny,Vaeao,,DL,,D. Vaeao,"6'4""",320,,,,,,,,,,99,,,,True,,7,,,,,,
